time_s;temperature
0;21.14407
300;21.19141
600;21.19039
900;21.09831
1200;21.13117
1500;21.08163
1800;21.08686
2100;21.07084
2400;21.01373
2700;21.01173
3000;20.93519
3300;21.03324
3600;21.00952
3900;20.87798
4200;20.92369
4500;20.91372
4800;20.91826
5100;20.77462
5400;20.84630
5700;20.76305
6000;20.72944
6300;20.68793
6600;20.79176
6900;20.75908
7200;20.60259
7500;20.66018
7800;20.76476
8100;20.63677
8400;20.72154
8700;20.63214
9000;20.57786
9300;20.67184
9600;20.60512
9900;20.54667
10200;20.51580
10500;20.68025
10800;20.43571
11100;20.62352
11400;20.42824
11700;20.50771
12000;20.49100
12300;20.61383
12600;20.48498
12900;20.50822
13200;20.49133
13500;20.52056
13800;20.46199
14100;20.54266
14400;20.47985
14700;20.54992
15000;20.43968
15300;20.51953
15600;20.53677
15900;20.55382
16200;20.47488
16500;20.55402
16800;20.48543
17100;20.54464
17400;20.50801
17700;20.52357
18000;20.53494
18300;20.63438
18600;20.53873
18900;20.62756
19200;20.55459
19500;20.63040
19800;20.56242
20100;20.72428
20400;20.62636
20700;20.66350
21000;29.78132
21300;20.66983
21600;20.62347
21900;20.74841
22200;20.70570
22500;20.71258
22800;20.66955
23100;20.74340
23400;20.69658
23700;20.79045
24000;20.76864
24300;20.91440
24600;20.95351
24900;21.04426
25200;20.90986
25500;20.95566
25800;20.98513
26100;20.97836
26400;20.99766
26700;21.01239
27000;21.18052
27300;21.09220
27600;21.13387
27900;21.10986
28200;21.18618
28500;21.27584
28800;21.23288
29100;21.28300
29400;21.34326
29700;21.29532
30000;21.42369
30300;21.43511
30600;21.38899
30900;21.37678
31200;21.45756
31500;21.61118
31800;21.53350
32100;21.53913
32400;21.62118
32700;21.71039
33000;21.73981
33300;21.66725
33600;21.77162
33900;21.80698
34200;21.70234
34500;21.87001
34800;21.76176
35100;21.86814
35400;21.99888
35700;22.02165
36000;21.99236
36300;22.03602
36600;22.09240
36900;22.17397
37200;22.14712
37500;22.13320
37800;22.15847
38100;22.22497
38400;22.26954
38700;22.26633
39000;22.29643
39300;22.33955
39600;22.41504
39900;22.41363
40200;22.42433
40500;22.49852
40800;22.51669
41100;22.55863
41400;22.57039
41700;22.62000
42000;22.71062
42300;22.62499
42600;22.71152
42900;22.75027
43200;22.67857
43500;22.71311
43800;22.72506
44100;22.87446
44400;22.81905
44700;22.88478
45000;22.94248
45300;23.04454
45600;23.00116
45900;23.00492
46200;22.98185
46500;22.99240
46800;23.07091
47100;23.13221
47400;23.13092
47700;23.13729
48000;23.15440
48300;23.14683
48600;23.18649
48900;23.15041
49200;23.26182
49500;23.25863
49800;23.27032
50100;23.28223
50400;23.30776
50700;23.32071
51000;23.24993
51300;23.41255
51600;23.44109
51900;23.34675
52200;23.39661
52500;23.44378
52800;23.47989
53100;23.44309
53400;31.66656
53700;23.55978
54000;23.53414
54300;23.46805
54600;23.34855
54900;23.51579
55200;23.53604
55500;23.45458
55800;23.60761
56100;23.54130
56400;23.40752
56700;23.39969
57000;23.44348
57300;23.52230
57600;23.45380
57900;23.51378
58200;23.45913
58500;23.55812
58800;23.52374
59100;23.60925
59400;23.51775
59700;23.59424
60000;23.60408
60300;23.43398
60600;23.42191
60900;23.46325
61200;23.39878
61500;23.34785
61800;23.45469
62100;23.41283
62400;23.42964
62700;23.42384
63000;23.31006
63300;23.33115
63600;23.35586
63900;23.32021
64200;23.27439
64500;23.24703
64800;23.34174
65100;23.32273
65400;23.30735
65700;23.26166
66000;23.17848
66300;23.14249
66600;23.19892
66900;23.18925
67200;23.21291
67500;23.14198
67800;23.12881
68100;23.20852
68400;23.04487
68700;23.01860
69000;23.04510
69300;23.01100
69600;23.00354
69900;22.98873
70200;22.97200
70500;22.93886
70800;22.76543
71100;22.74272
71400;22.76973
71700;22.78138
72000;22.75386
72300;22.74728
72600;22.72557
72900;22.68532
73200;22.64551
73500;22.66707
73800;22.48420
74100;22.56367
74400;22.51638
74700;22.50559
75000;22.42907
75300;22.40533
75600;22.35997
75900;22.35241
76200;22.33448
76500;22.31579
76800;22.22823
77100;22.26611
77400;22.27099
77700;22.22110
78000;22.16508
78300;22.08534
78600;22.09525
78900;21.98669
79200;21.96455
79500;21.88516
79800;21.90596
80100;21.92297
80400;21.83703
80700;21.74852
81000;21.83200
81300;21.73960
81600;21.80290
81900;21.70337
82200;21.73291
82500;21.53778
82800;21.60600
83100;21.59905
83400;21.53686
83700;21.43452
84000;21.48210
84300;21.46843
84600;21.40460
84900;21.41236
85200;21.31717
85500;30.46420
85800;21.24927
86100;21.28841
