time_s;temperature
0;21.23419
300;21.21421
600;21.16006
900;21.11554
1200;21.09925
1500;21.17149
1800;21.12280
2100;21.03336
2400;20.99671
2700;21.12717
3000;20.94884
3300;21.03764
3600;21.03317
3900;20.98181
4200;20.87788
4500;20.89600
4800;20.92454
5100;20.74581
5400;20.80166
5700;20.86240
6000;20.74466
6300;20.74785
6600;20.72497
6900;20.67698
7200;20.72843
7500;20.72641
7800;20.64345
8100;20.63572
8400;20.59757
8700;20.58563
9000;20.60271
9300;20.58048
9600;20.57917
9900;20.49109
10200;20.53783
10500;20.59046
10800;20.43636
11100;20.54776
11400;20.54294
11700;20.47718
12000;20.40112
12300;20.40112
12600;20.40112
12900;20.40112
13200;20.40112
13500;20.40112
13800;20.40112
14100;20.40112
14400;20.40112
14700;20.40112
15000;20.40112
15300;20.40112
15600;20.40112
15900;20.40112
16200;20.40112
16500;20.40112
16800;20.40112
17100;20.40112
17400;20.40112
17700;20.40112
18000;20.40112
18300;20.40112
18600;20.40112
18900;20.40112
19200;20.40112
19500;20.40112
19800;20.40112
20100;20.40112
20400;20.40112
20700;20.40112
21000;20.40112
21300;20.40112
21600;20.40112
21900;20.40112
22200;20.40112
22500;20.40112
22800;20.40112
23100;20.40112
23400;20.40112
23700;20.40112
24000;20.40112
24300;20.40112
24600;20.40112
24900;20.40112
25200;20.40112
25500;20.40112
25800;20.40112
26100;20.40112
26400;20.40112
26700;20.40112
27000;20.40112
27300;20.40112
27600;20.40112
27900;20.40112
28200;20.40112
28500;20.40112
28800;20.40112
29100;20.40112
29400;20.40112
29700;20.40112
30000;20.40112
30300;20.40112
30600;20.40112
30900;20.40112
31200;20.40112
31500;20.40112
31800;20.40112
32100;20.40112
32400;20.40112
32700;20.40112
33000;20.40112
33300;20.40112
33600;20.40112
33900;20.40112
34200;20.40112
34500;20.40112
34800;20.40112
35100;20.40112
35400;20.40112
35700;20.40112
36000;22.00975
36300;22.06368
36600;22.05623
36900;22.11096
37200;22.19405
37500;22.18760
37800;22.25383
38100;22.23861
38400;22.15563
38700;22.25866
39000;22.22197
39300;22.41939
39600;22.36220
39900;22.41324
40200;22.40554
40500;22.42016
40800;22.42901
41100;22.53963
41400;22.56999
41700;22.61976
42000;22.65043
42300;22.54135
42600;22.69978
42900;22.71714
43200;22.75843
43500;22.79460
43800;22.79100
44100;22.88704
44400;22.88361
44700;22.85848
45000;22.93575
45300;22.87599
45600;23.05501
45900;22.91713
46200;23.09473
46500;23.04277
46800;22.98799
47100;23.10188
47400;23.09933
47700;23.16708
48000;23.18021
48300;23.14364
48600;23.20999
48900;23.27598
49200;23.21521
49500;23.29560
49800;23.21413
50100;23.17913
50400;23.26758
50700;23.32459
51000;23.35522
51300;23.40843
51600;23.32756
51900;23.35722
52200;23.38881
52500;23.45963
52800;23.39586
53100;23.40088
53400;23.48881
53700;23.42082
54000;23.48253
54300;23.39631
54600;23.45346
54900;23.46787
55200;23.37410
55500;23.59878
55800;23.49277
56100;23.50281
56400;23.47308
56700;23.55740
57000;23.49783
57300;23.54084
57600;23.51130
57900;23.49686
58200;23.44127
58500;23.46814
58800;23.55719
59100;23.60390
59400;23.49517
59700;23.48331
60000;23.51470
60300;23.51123
60600;23.45745
60900;23.43840
61200;23.56895
61500;23.45771
61800;23.45537
62100;23.39893
62400;23.33278
62700;23.36280
63000;23.33490
63300;23.37636
63600;23.34890
63900;23.23677
64200;23.34372
64500;23.26697
64800;23.25651
65100;23.34457
65400;23.23686
65700;23.23532
66000;23.23952
66300;23.21916
66600;23.18433
66900;23.18493
67200;23.17678
67500;23.03269
67800;23.14415
68100;23.11497
68400;23.08360
68700;23.06231
69000;23.01089
69300;22.87820
69600;23.00229
69900;22.93626
70200;22.90188
70500;22.84957
70800;22.78026
71100;22.80433
71400;22.80229
71700;22.76718
72000;22.67044
72300;22.70136
72600;22.71441
72900;22.70144
73200;22.65292
73500;22.58522
73800;22.54743
74100;22.54544
74400;22.58829
74700;22.46547
75000;22.46164
75300;22.40207
75600;22.28372
75900;22.39150
76200;22.34157
76500;22.28135
76800;22.22843
77100;22.23314
77400;22.17648
77700;22.14817
78000;22.10052
78300;22.12336
78600;22.00725
78900;21.96672
79200;22.01966
79500;21.89846
79800;21.93935
80100;21.89114
80400;21.86267
80700;21.76702
81000;21.79480
81300;21.81339
81600;21.68710
81900;21.71600
82200;21.67198
82500;21.59806
82800;21.63380
83100;21.58894
83400;21.45879
83700;21.54436
84000;21.48475
84300;21.45930
84600;21.46023
84900;21.37273
85200;21.38283
85500;21.33282
85800;21.25441
86100;21.24353
