time_s;temperature
0;21.25582
300;21.23846
600;21.11764
900;21.12127
1200;21.08048
1500;21.18151
1800;21.18747
2100;20.98668
2400;20.99657
2700;21.02139
3000;20.93027
3300;20.91246
3600;20.93077
3900;20.94208
4200;20.94396
4500;20.92964
4800;20.87231
5100;20.76825
5400;20.82620
5700;20.69446
6000;20.81082
6300;20.64952
6600;20.82417
6900;20.85794
7200;20.71169
7500;20.71957
7800;20.71035
8100;20.61538
8400;20.65746
8700;20.68978
9000;20.62238
9300;20.64132
9600;20.63325
9900;20.53765
10200;20.53159
10500;20.54044
10800;20.53411
11100;28.34798
11400;20.50343
11700;20.53238
12000;20.61677
12300;20.52244
12600;20.60058
12900;20.54737
13200;20.59382
13500;20.46715
13800;20.53439
14100;20.55275
14400;20.51977
14700;20.45908
15000;20.47312
15300;20.47437
15600;20.49949
15900;20.50970
16200;20.51506
16500;20.62375
16800;20.54234
17100;20.56169
17400;20.51969
17700;20.45078
18000;20.57671
18300;20.61607
18600;20.54748
18900;20.56292
19200;20.67294
19500;20.76945
19800;20.54201
20100;20.71239
20400;20.69098
20700;20.63478
21000;20.63835
21300;20.65321
21600;28.46605
21900;20.70905
22200;20.78147
22500;20.74752
22800;20.70830
23100;20.67682
23400;20.77749
23700;20.79489
24000;20.81774
24300;20.85328
24600;20.87279
24900;21.03215
25200;20.82978
25500;21.04351
25800;20.99508
26100;21.09811
26400;21.05624
26700;21.04035
27000;21.00929
27300;21.13491
27600;21.11110
27900;21.13711
28200;21.16898
28500;21.14759
28800;21.20800
29100;21.26648
29400;21.29645
29700;21.23922
30000;21.36958
30300;21.53200
30600;21.45026
30900;21.50348
31200;21.41045
31500;21.51531
31800;21.57226
32100;21.72935
32400;21.68881
32700;21.72842
33000;21.65478
33300;21.67159
33600;21.74930
33900;21.78493
34200;21.77442
34500;21.81167
34800;22.00679
35100;21.98205
35400;21.91893
35700;21.90601
36000;22.09628
36300;22.03570
36600;22.02388
36900;22.06866
37200;22.17196
37500;22.22505
37800;22.12967
38100;22.17289
38400;22.25730
38700;22.31067
39000;22.36548
39300;22.41356
39600;22.41045
39900;22.37749
40200;22.47896
40500;30.23706
40800;22.56041
41100;22.55681
41400;22.58101
41700;22.69876
42000;22.61203
42300;22.67519
42600;22.73500
42900;22.75315
43200;22.71501
43500;22.81577
43800;22.82423
44100;22.86434
44400;22.85334
44700;22.88898
45000;22.86291
45300;22.89982
45600;22.94572
45900;23.01023
46200;23.07057
46500;23.06922
46800;23.03461
47100;23.08135
47400;23.17005
47700;23.08488
48000;23.13414
48300;23.14114
48600;23.23841
48900;23.30847
49200;23.18627
49500;23.11725
49800;23.31102
50100;23.27988
50400;23.22451
50700;23.38259
51000;23.43806
51300;23.31097
51600;23.40801
51900;23.40667
52200;23.38182
52500;23.35010
52800;23.46619
53100;23.44048
53400;23.42000
53700;23.41282
54000;23.34770
54300;23.47362
54600;23.44511
54900;23.54789
55200;23.44459
55500;23.35133
55800;23.51317
56100;23.51842
56400;23.40987
56700;23.53962
57000;23.39740
57300;23.55904
57600;23.55021
57900;23.51911
58200;23.52821
58500;23.45561
58800;23.48502
59100;23.57123
59400;23.50212
59700;23.47872
60000;23.55349
60300;23.47845
60600;23.40347
60900;23.41494
61200;23.49980
61500;23.50927
61800;23.42488
62100;23.39314
62400;23.48934
62700;23.38959
63000;23.40262
63300;23.33174
63600;23.38749
63900;23.33957
64200;23.30815
64500;23.36721
64800;23.31632
65100;23.22026
65400;23.26446
65700;23.13142
66000;23.23660
66300;23.21265
66600;23.15268
66900;23.22760
67200;23.13965
67500;23.16409
67800;23.11411
68100;23.09791
68400;23.06991
68700;23.15791
69000;23.10031
69300;22.98560
69600;22.98225
69900;23.02266
70200;22.88186
70500;22.86183
70800;22.83428
71100;22.78444
71400;22.85107
71700;22.68810
72000;22.82995
72300;22.63387
72600;22.63689
72900;22.79023
73200;22.54353
73500;22.55588
73800;22.55033
74100;22.47501
74400;22.58751
74700;22.50984
75000;22.48891
75300;22.41602
75600;22.33196
75900;22.30953
76200;22.33101
76500;22.20441
76800;22.31176
77100;22.21685
77400;22.13763
77700;22.15830
78000;22.21218
78300;22.12484
78600;22.04092
78900;21.96529
79200;21.95537
79500;21.90296
79800;21.88653
80100;21.98800
80400;21.86162
80700;21.82243
81000;21.83233
81300;21.73876
81600;21.75133
81900;21.67387
82200;21.69703
82500;21.67395
82800;21.65120
83100;21.49364
83400;21.49166
83700;21.43265
84000;21.42447
84300;21.41213
84600;21.47011
84900;21.37331
85200;21.36381
85500;21.32070
85800;21.35596
86100;21.24124
