time_s;temperature
0;20.37196
300;20.92530
600;20.72185
900;20.14117
1200;19.95283
1500;20.47807
1800;20.12916
2100;20.03704
2400;20.26118
2700;20.37581
3000;20.36368
3300;20.10922
3600;19.37151
3900;20.31351
4200;19.75335
4500;20.05618
4800;19.89605
5100;20.57547
5400;20.48974
5700;19.70522
6000;19.41093
6300;19.40626
6600;19.84012
6900;19.56982
7200;19.37213
7500;19.52274
7800;19.79023
8100;19.60709
8400;19.46224
8700;19.47697
9000;19.51324
9300;19.60710
9600;19.60392
9900;19.00498
10200;19.53021
10500;19.35304
10800;19.13974
11100;19.31506
11400;19.75748
11700;19.63779
12000;19.40972
12300;19.09758
12600;18.94578
12900;19.05890
13200;19.33371
13500;19.32945
13800;19.11431
14100;19.56415
14400;19.40809
14700;18.49013
15000;19.31188
15300;19.50024
15600;19.32965
15900;19.43955
16200;19.18309
16500;19.24044
16800;19.24546
17100;19.31360
17400;19.08511
17700;19.58792
18000;19.68919
18300;19.10609
18600;18.91869
18900;18.87048
19200;19.40115
19500;19.46247
19800;19.41617
20100;19.45012
20400;19.14004
20700;18.72333
21000;19.18184
21300;19.83866
21600;19.43423
21900;19.49526
22200;19.65324
22500;19.14451
22800;19.47909
23100;19.58201
23400;19.16567
23700;19.57243
24000;19.87049
24300;19.38103
24600;19.00464
24900;19.59397
25200;19.36679
25500;19.64036
25800;19.35638
26100;19.65099
26400;20.02522
26700;19.67374
27000;19.21302
27300;19.84682
27600;19.76704
27900;19.85262
28200;20.10881
28500;19.68811
28800;19.78859
29100;19.59611
29400;19.99343
29700;20.01658
30000;19.92007
30300;20.25417
30600;19.75158
30900;20.13369
31200;20.30943
31500;20.00040
31800;19.78532
32100;19.72354
32400;20.31391
32700;20.81107
33000;20.15586
33300;20.51042
33600;19.68401
33900;20.56049
34200;20.15917
34500;20.40516
34800;20.58453
35100;20.10060
35400;21.58071
35700;20.49381
36000;20.89607
36300;21.20051
36600;20.87955
36900;20.46229
37200;20.90055
37500;20.35766
37800;20.84895
38100;21.49067
38400;20.60363
38700;20.81914
39000;21.66187
39300;21.09290
39600;20.91641
39900;21.34057
40200;21.12238
40500;20.48735
40800;20.93301
41100;21.99712
41400;21.51719
41700;21.89640
42000;21.18690
42300;21.51732
42600;21.52110
42900;21.44528
43200;21.70997
43500;21.34963
43800;22.08378
44100;21.89766
44400;21.74148
44700;21.86957
45000;21.77439
45300;21.38317
45600;21.63777
45900;21.91527
46200;21.89734
46500;22.23090
46800;22.23771
47100;21.93415
47400;21.84702
47700;22.39206
48000;22.25338
48300;22.04055
48600;21.91432
48900;22.08348
49200;22.43255
49500;22.84914
49800;22.30706
50100;22.14764
50400;23.07098
50700;22.33788
51000;22.23618
51300;22.37652
51600;22.38520
51900;22.92642
52200;22.06535
52500;22.76733
52800;22.60646
53100;22.46278
53400;22.54831
53700;22.59242
54000;22.71183
54300;22.56702
54600;22.69899
54900;22.50088
55200;23.40331
55500;23.06536
55800;22.92218
56100;22.65469
56400;23.04568
56700;22.89960
57000;22.85528
57300;22.66857
57600;22.91892
57900;23.34884
58200;22.87436
58500;22.77658
58800;22.89014
59100;22.87733
59400;22.70302
59700;22.64690
60000;23.10850
60300;23.23251
60600;23.55019
60900;23.00659
61200;22.90194
61500;23.13442
61800;22.58758
62100;23.04800
62400;23.16125
62700;23.15043
63000;23.33605
63300;22.64819
63600;22.67103
63900;22.74437
64200;22.46359
64500;22.94831
64800;22.97704
65100;22.92985
65400;22.79228
65700;23.03449
66000;22.88979
66300;22.52019
66600;21.79888
66900;22.56677
67200;22.65912
67500;22.64225
67800;22.55417
68100;22.42605
68400;22.31149
68700;22.23336
69000;22.65075
69300;22.82307
69600;22.09686
69900;22.42881
70200;22.65813
70500;22.33852
70800;22.58302
71100;22.66414
71400;22.43076
71700;22.13495
72000;22.64880
72300;22.14411
72600;22.11364
72900;22.31731
73200;22.04085
73500;22.03210
73800;21.95458
74100;21.97948
74400;22.05928
74700;21.37446
75000;21.90253
75300;21.36765
75600;21.73999
75900;21.92786
76200;21.69227
76500;21.96514
76800;21.82196
77100;21.03396
77400;22.00298
77700;21.68104
78000;21.39764
78300;21.38951
78600;20.86687
78900;21.51922
79200;21.61068
79500;21.17257
79800;21.06620
80100;21.34083
80400;21.61795
80700;21.54757
81000;21.42971
81300;21.74773
81600;21.37960
81900;21.40990
82200;21.04962
82500;20.88010
82800;21.28517
83100;20.61116
83400;20.99340
83700;20.64477
84000;20.88992
84300;20.82964
84600;20.75944
84900;20.66667
85200;20.79338
85500;20.80330
85800;20.13785
86100;20.50621
