time_s;temperature
0;20.19944
300;19.84422
600;20.13062
900;19.71105
1200;19.73335
1500;19.90301
1800;19.63920
2100;19.89732
2400;19.75688
2700;19.20168
3000;19.56279
3300;19.60949
3600;19.61482
3900;19.74727
4200;19.70053
4500;19.34843
4800;19.95091
5100;19.41311
5400;19.58156
5700;19.14651
6000;19.07902
6300;19.46988
6600;19.47860
6900;19.26636
7200;19.27943
7500;19.51704
7800;19.06730
8100;18.68760
8400;19.60115
8700;18.74801
9000;19.19345
9300;19.37296
9600;19.04987
9900;19.14532
10200;18.40925
10500;18.81790
10800;18.87599
11100;19.23583
11400;19.16284
11700;19.00068
12000;18.80664
12300;18.80832
12600;18.56959
12900;18.16262
13200;18.81700
13500;18.59813
13800;19.34167
14100;18.83813
14400;18.91227
14700;18.28156
15000;19.11572
15300;18.72133
15600;19.29402
15900;19.22496
16200;18.41255
16500;18.50350
16800;18.21664
17100;18.62377
17400;18.60170
17700;18.51891
18000;18.66271
18300;18.96130
18600;19.03797
18900;18.70352
19200;18.63054
19500;19.03422
19800;19.10377
20100;18.79698
20400;18.55214
20700;18.38637
21000;17.98246
21300;18.79623
21600;18.82982
21900;19.50383
22200;18.46016
22500;18.79401
22800;18.86557
23100;19.46126
23400;18.84357
23700;18.65050
24000;18.75838
24300;18.32598
24600;19.03369
24900;18.88913
25200;18.43486
25500;18.56707
25800;18.77654
26100;19.07718
26400;19.08120
26700;18.07274
27000;18.63688
27300;19.63430
27600;19.20976
27900;19.04693
28200;18.93254
28500;19.41220
28800;19.02951
29100;18.74419
29400;18.66595
29700;19.24736
30000;18.83563
30300;19.32147
30600;19.76539
30900;18.86355
31200;19.45811
31500;19.60338
31800;19.14548
32100;19.58958
32400;19.92165
32700;19.89496
33000;19.05530
33300;19.40576
33600;19.41324
33900;19.28752
34200;19.60065
34500;19.51227
34800;19.32529
35100;19.72182
35400;19.85042
35700;19.79011
36000;19.40967
36300;19.57760
36600;20.12955
36900;19.97980
37200;20.06427
37500;19.53876
37800;20.02653
38100;19.77861
38400;20.26415
38700;20.07809
39000;19.90106
39300;20.23045
39600;20.05930
39900;20.14940
40200;20.43576
40500;20.32556
40800;19.82126
41100;20.29571
41400;20.30379
41700;20.03386
42000;20.38082
42300;20.04187
42600;20.47317
42900;20.73847
43200;20.31731
43500;20.58492
43800;20.66287
44100;20.24949
44400;20.68381
44700;20.41504
45000;20.94326
45300;21.06256
45600;20.50773
45900;20.77969
46200;21.25480
46500;21.24144
46800;20.45265
47100;20.80104
47400;20.68817
47700;21.32198
48000;20.81759
48300;20.54046
48600;20.67649
48900;20.73102
49200;20.93186
49500;21.10950
49800;21.83708
50100;21.45177
50400;20.99449
50700;21.45977
51000;20.96871
51300;21.97426
51600;21.92863
51900;21.16530
52200;21.49422
52500;20.66703
52800;21.11695
53100;21.71880
53400;21.37813
53700;21.07452
54000;20.74230
54300;21.52725
54600;21.88191
54900;21.38794
55200;21.18227
55500;21.79719
55800;21.96484
56100;21.41273
56400;21.58414
56700;21.99751
57000;21.68157
57300;21.99273
57600;21.62422
57900;21.80653
58200;21.99729
58500;21.61082
58800;21.83906
59100;21.86222
59400;21.54072
59700;21.78698
60000;21.82887
60300;21.92614
60600;21.55883
60900;21.37405
61200;21.27011
61500;21.58439
61800;21.09422
62100;21.68199
62400;21.63542
62700;22.30782
63000;21.47451
63300;22.37518
63600;21.88504
63900;21.94427
64200;21.85396
64500;21.57070
64800;21.50695
65100;22.19784
65400;21.59328
65700;20.89172
66000;21.07228
66300;21.53170
66600;21.91892
66900;21.87877
67200;21.99910
67500;21.71502
67800;21.58228
68100;21.26840
68400;21.78926
68700;21.78762
69000;21.73500
69300;21.46488
69600;21.86098
69900;21.26456
70200;20.83949
70500;21.46232
70800;21.58749
71100;21.81142
71400;21.64990
71700;21.88356
72000;21.79262
72300;21.82369
72600;21.33458
72900;21.32663
73200;21.58524
73500;20.52603
73800;21.24664
74100;20.80780
74400;21.27823
74700;21.46029
75000;21.37109
75300;21.05399
75600;20.82424
75900;21.40420
76200;21.24180
76500;21.20231
76800;20.67823
77100;20.60910
77400;20.94679
77700;20.93349
78000;20.66987
78300;21.24048
78600;20.97067
78900;20.86464
79200;20.98812
79500;21.04488
79800;20.78111
80100;21.12603
80400;20.71011
80700;20.73002
81000;20.26289
81300;20.44860
81600;21.03792
81900;20.67834
82200;20.58219
82500;20.73267
82800;20.24849
83100;20.56436
83400;20.16311
83700;19.39402
84000;20.38332
84300;20.11213
84600;20.44211
84900;19.99145
85200;19.90632
85500;20.08648
85800;20.43022
86100;19.81125
