timestamp,dataset,method,params,trace_count,repeat,tag_k,status,trace_indices_start,trace_indices_end,disc_time,learn_time,total_time,actual_bins,n_states,n_edges,n_inconsistencies,error_type,error_msg
2026-05-16T03:22:41.177436,clean,naive,{'bins': 15},1,0,2,ok,0,1,0.0006430167704820633,0.021251248195767403,0.02224375121295452,15,31,38,0,,
2026-05-16T03:22:41.212803,clean,naive,{'bins': 15},1,1,2,ok,1,2,0.0003433655947446823,0.03222390357404947,0.03285029996186495,15,28,37,0,,
2026-05-16T03:22:41.239254,clean,naive,{'bins': 15},1,2,2,ok,2,3,0.0003255913034081459,0.023679849691689014,0.024282220751047134,15,28,36,0,,
2026-05-16T03:22:41.265260,clean,naive,{'bins': 15},1,3,2,ok,3,4,0.0003244401887059212,0.023229612968862057,0.023825612850487232,15,34,41,0,,
2026-05-16T03:22:41.297273,clean,naive,{'bins': 15},1,4,2,ok,4,5,0.00032525137066841125,0.02944216877222061,0.030066100880503654,15,24,32,0,,
2026-05-16T03:22:41.388038,clean,naive,{'bins': 15},2,0,2,ok,0,2,0.0005666948854923248,0.08383593615144491,0.08481649775058031,15,31,49,0,,
2026-05-16T03:22:41.499212,clean,naive,{'bins': 15},2,1,2,ok,2,4,0.000856257975101471,0.10692949313670397,0.10836132243275642,15,35,50,0,,
2026-05-16T03:22:41.597840,clean,naive,{'bins': 15},2,2,2,ok,4,6,0.0007478250190615654,0.09452338609844446,0.09578474517911673,15,18,35,0,,
2026-05-16T03:22:41.704879,clean,naive,{'bins': 15},2,3,2,ok,6,8,0.0008224854245781898,0.1027964623644948,0.10411941725760698,15,28,42,0,,
2026-05-16T03:22:41.802231,clean,naive,{'bins': 15},2,4,2,ok,8,10,0.000864383764564991,0.09298825263977051,0.09444451797753572,15,27,46,0,,
2026-05-16T03:22:41.967742,clean,naive,{'bins': 15},3,0,2,ok,0,3,0.0008832383900880814,0.15778958518058062,0.15929107461124659,15,26,43,0,,
2026-05-16T03:22:42.198010,clean,naive,{'bins': 15},3,1,2,ok,3,6,0.0010221898555755615,0.22471177764236927,0.22641762159764767,15,41,63,0,,
2026-05-16T03:22:42.355462,clean,naive,{'bins': 15},3,2,2,ok,6,9,0.000988316722214222,0.15229672007262707,0.1539271017536521,15,18,33,0,,
2026-05-16T03:22:42.571218,clean,naive,{'bins': 15},3,3,2,ok,9,12,0.0009992867708206177,0.21063773799687624,0.21226558554917574,15,35,58,0,,
2026-05-16T03:22:42.741914,clean,naive,{'bins': 15},3,4,2,ok,12,15,0.0010111881420016289,0.16517032496631145,0.1668415730819106,15,19,36,0,,
2026-05-16T03:22:43.095724,clean,naive,{'bins': 15},4,0,2,ok,0,4,0.001234208233654499,0.34417081996798515,0.3462812639772892,15,32,54,0,,
2026-05-16T03:22:43.424899,clean,naive,{'bins': 15},4,1,2,ok,4,8,0.001194031909108162,0.3221070170402527,0.3241059612482786,15,27,48,0,,
2026-05-16T03:22:43.713214,clean,naive,{'bins': 15},4,2,2,ok,8,12,0.001237945631146431,0.2816024115309119,0.2836177870631218,15,31,53,0,,
2026-05-16T03:22:44.035203,clean,naive,{'bins': 15},4,3,2,ok,12,16,0.0012081190943717957,0.3134460421279073,0.3154548853635788,15,27,51,0,,
2026-05-16T03:22:44.346567,clean,naive,{'bins': 15},4,4,2,ok,16,20,0.002190113067626953,0.303124669007957,0.30631882790476084,15,25,46,0,,
2026-05-16T03:22:44.790662,clean,naive,{'bins': 15},5,0,2,ok,0,5,0.00150213111191988,0.4214378111064434,0.4241659138351679,15,13,29,0,,
2026-05-16T03:22:45.319811,clean,naive,{'bins': 15},5,1,2,ok,5,10,0.0019450923427939415,0.5200431533157825,0.5234375670552254,15,34,59,0,,
2026-05-16T03:22:45.705102,clean,naive,{'bins': 15},5,2,2,ok,10,15,0.001554368995130062,0.377030978910625,0.3797331126406789,15,19,39,0,,
2026-05-16T03:22:46.177660,clean,naive,{'bins': 15},5,3,2,ok,15,20,0.0015771323814988136,0.46405890863388777,0.46676651388406754,15,20,38,0,,
2026-05-16T03:22:46.582172,clean,naive,{'bins': 15},5,4,2,ok,20,25,0.001849401742219925,0.39540394209325314,0.3986478429287672,15,25,48,0,,
2026-05-16T03:22:47.118671,clean,naive,{'bins': 15},6,0,2,ok,0,6,0.0018558250740170479,0.5228995559737086,0.5262065371498466,15,38,63,0,,
2026-05-16T03:22:47.668743,clean,naive,{'bins': 15},6,1,2,ok,6,12,0.0024952366948127747,0.5376570802181959,0.5416423045098782,15,40,64,0,,
