time_s;temperature
0;21.44950
300;21.38965
600;21.41716
900;21.39926
1200;21.35959
1500;21.28278
1800;21.31152
2100;21.18512
2400;21.10196
2700;21.20558
3000;21.27143
3300;21.16341
3600;21.06709
3900;21.06321
4200;21.05346
4500;20.98248
4800;20.95321
5100;20.99689
5400;20.97550
5700;20.88367
6000;20.83828
6300;20.87328
6600;20.84031
6900;20.87184
7200;20.78123
7500;20.81438
7800;20.79867
8100;20.79834
8400;20.73597
8700;20.68760
9000;20.68939
9300;20.67793
9600;20.77048
9900;20.62898
10200;20.73501
10500;20.62848
10800;20.59239
11100;20.56577
11400;20.53286
11700;20.56583
12000;20.56054
12300;20.55412
12600;20.65427
12900;20.60391
13200;20.53095
13500;20.49850
13800;20.44134
14100;20.51887
14400;20.54977
14700;20.56085
15000;20.46346
15300;20.42027
15600;20.48585
15900;20.50758
16200;20.46581
16500;20.50548
16800;20.47640
17100;20.49089
17400;20.49661
17700;20.48357
18000;20.42623
18300;20.55473
18600;20.46906
18900;20.38720
19200;20.50370
19500;20.53427
19800;20.57030
20100;20.54121
20400;20.54357
20700;20.55673
21000;20.52402
21300;20.55300
21600;20.62554
21900;20.56853
22200;20.61387
22500;20.59909
22800;20.60300
23100;20.64018
23400;20.65643
23700;20.67406
24000;20.71165
24300;20.61978
24600;20.71213
24900;20.77930
25200;20.84044
25500;20.73040
25800;20.75588
26100;20.84233
26400;20.90360
26700;20.83665
27000;20.80653
27300;20.93199
27600;20.90064
27900;21.04662
28200;20.98612
28500;20.95852
28800;20.99781
29100;21.07542
29400;21.07768
29700;21.12616
30000;21.29440
30300;21.12350
30600;21.24147
30900;21.29835
31200;21.32047
31500;21.23951
31800;21.32450
32100;21.27689
32400;21.41830
32700;21.38609
33000;21.45632
33300;21.53918
33600;21.51375
33900;21.54420
34200;21.55365
34500;21.65935
34800;21.60096
35100;21.68213
35400;21.72198
35700;21.76349
36000;21.77408
36300;21.74128
36600;21.82393
36900;21.77378
37200;21.87744
37500;21.95512
37800;22.00568
38100;21.95723
38400;22.12461
38700;21.97809
39000;22.11147
39300;22.14931
39600;22.18304
39900;22.20694
40200;22.22395
40500;22.33710
40800;22.23304
41100;22.30105
41400;22.35542
41700;22.37452
42000;22.36683
42300;22.47549
42600;22.48907
42900;22.59179
43200;22.57942
43500;22.62369
43800;22.65214
44100;22.57940
44400;22.64346
44700;22.67438
45000;22.77521
45300;22.75697
45600;22.77867
45900;22.80333
46200;22.88795
46500;22.81208
46800;22.89065
47100;22.98980
47400;22.96694
47700;22.94841
48000;23.00588
48300;22.94428
48600;23.00751
48900;23.04899
49200;23.03277
49500;23.14441
49800;23.07377
50100;23.21345
50400;23.20193
50700;23.16292
51000;23.18990
51300;23.23429
51600;23.29832
51900;23.26818
52200;23.33900
52500;23.30537
52800;23.35435
53100;23.41020
53400;23.36364
53700;23.31466
54000;23.37143
54300;23.49084
54600;23.38099
54900;23.32660
55200;23.38175
55500;23.42769
55800;23.47335
56100;23.51527
56400;23.42584
56700;23.54044
57000;23.51679
57300;23.54004
57600;23.54178
57900;23.47828
58200;23.59141
58500;23.57036
58800;23.51219
59100;23.57982
59400;23.64228
59700;23.56110
60000;23.41543
60300;23.42977
60600;23.52370
60900;23.46165
61200;23.46750
61500;23.51196
61800;23.47691
62100;23.53325
62400;23.53357
62700;23.42628
63000;23.48451
63300;23.43757
63600;23.48962
63900;23.43320
64200;23.48051
64500;23.41915
64800;23.48993
65100;23.41224
65400;23.30962
65700;23.40076
66000;23.34327
66300;23.24229
66600;23.31173
66900;23.33952
67200;23.33402
67500;23.31120
67800;23.25895
68100;23.22287
68400;23.17697
68700;23.24457
69000;23.21737
69300;23.13190
69600;23.21376
69900;23.16347
70200;23.14164
70500;23.07155
70800;23.14962
71100;22.98464
71400;22.89418
71700;23.02118
72000;22.99850
72300;22.96705
72600;22.96028
72900;22.92930
73200;22.90475
73500;22.83650
73800;22.80858
74100;22.76795
74400;22.78599
74700;22.66841
75000;22.66685
75300;22.59119
75600;22.64639
75900;22.66569
76200;22.51229
76500;22.44005
76800;22.48790
77100;22.47519
77400;22.42009
77700;22.33624
78000;22.41938
78300;22.34897
78600;22.39003
78900;22.31613
79200;22.19282
79500;22.22630
79800;22.19927
80100;22.21836
80400;22.07510
80700;22.00847
81000;22.03959
81300;21.99508
81600;21.96077
81900;21.95567
82200;21.76561
82500;21.81654
82800;21.84645
83100;21.80331
83400;21.87492
83700;21.74276
84000;21.64198
84300;21.64273
84600;21.69491
84900;21.60065
85200;21.47983
85500;21.58323
85800;21.57584
86100;21.48202
