time_s;temperature
0;36.32505
300;36.21860
600;36.17276
900;36.17433
1200;36.16480
1500;36.08629
1800;36.06527
2100;36.01126
2400;36.07405
2700;36.02777
3000;35.90639
3300;35.94801
3600;35.98970
3900;35.96285
4200;35.87100
4500;35.79273
4800;35.91039
5100;35.73135
5400;35.80801
5700;35.74509
6000;35.82253
6300;35.80251
6600;35.68391
6900;35.76164
7200;35.69411
7500;35.74301
7800;35.64284
8100;35.59213
8400;35.71278
8700;35.60887
9000;35.59933
9300;35.61717
9600;35.56731
9900;35.60952
10200;35.60666
10500;35.55106
10800;35.62884
11100;35.65233
11400;35.42453
11700;35.57159
12000;35.48970
12300;35.43724
12600;35.49627
12900;35.54730
13200;35.47325
13500;35.41426
13800;35.56855
14100;35.49453
14400;35.51586
14700;35.50051
15000;35.44157
15300;35.46881
15600;35.51620
15900;35.51130
16200;35.54044
16500;35.53995
16800;35.42353
17100;35.51931
17400;35.60660
17700;35.52207
18000;35.45601
18300;35.59438
18600;35.71760
18900;35.61732
19200;35.60330
19500;35.64845
19800;35.58389
20100;35.69594
20400;35.68271
20700;35.64385
21000;35.74195
21300;35.67034
21600;35.63714
21900;35.75249
22200;35.75949
22500;35.81827
22800;35.73290
23100;35.69318
23400;35.88456
23700;35.78237
24000;35.96207
24300;35.86306
24600;35.87753
24900;35.93979
25200;35.89510
25500;35.97329
25800;35.92745
26100;35.89382
26400;35.96734
26700;36.10115
27000;35.97050
27300;36.09398
27600;36.15638
27900;36.20251
28200;36.19414
28500;36.19388
28800;36.30909
29100;36.20107
29400;36.26815
29700;36.28966
30000;36.40518
30300;36.42842
30600;36.48283
30900;36.43199
31200;36.48244
31500;36.47378
31800;36.57982
32100;36.57390
32400;36.66363
32700;36.70513
33000;36.66619
33300;36.75469
33600;36.71909
33900;36.74236
34200;36.80494
34500;36.84315
34800;36.81007
35100;36.86810
35400;36.90523
35700;37.07781
36000;37.01415
36300;37.11103
36600;37.10581
36900;37.02969
37200;37.03888
37500;37.15657
37800;37.17231
38100;37.27713
38400;37.37215
38700;37.29539
39000;37.29121
39300;37.43177
39600;37.42693
39900;37.43973
40200;37.46502
40500;37.51704
40800;37.50852
41100;37.60340
41400;37.56237
41700;37.45896
42000;37.68803
42300;37.62627
42600;37.66392
42900;37.78007
43200;37.75710
43500;37.88946
43800;37.79903
44100;37.80564
44400;37.88874
44700;37.88032
45000;37.96660
45300;37.87493
45600;38.01575
45900;37.97952
46200;37.95619
46500;38.06265
46800;38.08586
47100;38.11004
47400;38.19467
47700;38.10681
48000;38.16286
48300;38.23007
48600;38.15623
48900;38.16728
49200;38.25945
49500;38.28032
49800;38.30660
50100;38.31620
50400;38.26406
50700;38.28064
51000;38.41686
51300;38.35247
51600;38.30976
51900;38.48790
52200;38.38124
52500;38.40586
52800;38.37296
53100;38.48183
53400;38.46908
53700;38.40772
54000;38.38032
54300;38.51489
54600;38.44206
54900;38.50772
55200;38.47428
55500;38.43780
55800;38.47035
56100;38.46370
56400;38.52288
56700;38.47085
57000;38.48349
57300;38.46615
57600;38.55543
57900;38.49435
58200;38.48104
58500;38.58158
58800;38.53252
59100;38.45594
59400;38.38737
59700;38.49984
60000;38.48421
60300;38.52306
60600;38.47469
60900;38.47111
61200;38.40690
61500;38.43824
61800;38.43069
62100;38.38405
62400;38.33040
62700;38.34593
63000;38.47775
63300;38.35222
63600;38.35045
63900;38.30210
64200;38.40099
64500;38.34217
64800;38.15934
65100;38.26476
65400;38.20692
65700;38.24221
66000;38.24107
66300;38.18945
66600;38.09517
66900;38.22399
67200;38.15370
67500;38.14160
67800;38.02313
68100;38.15160
68400;38.09459
68700;38.01037
69000;38.01487
69300;37.94140
69600;37.91844
69900;37.85531
70200;37.92283
70500;37.80905
70800;37.78180
71100;37.91780
71400;37.91184
71700;37.80005
72000;37.76076
72300;37.67201
72600;37.67892
72900;37.62593
73200;37.65654
73500;37.62992
73800;37.64500
74100;37.49584
74400;37.47358
74700;37.56079
75000;37.50759
75300;37.43368
75600;37.34840
75900;37.33548
76200;37.41414
76500;37.28214
76800;37.19956
77100;37.11143
77400;37.20742
77700;37.18672
78000;37.11631
78300;37.14072
78600;36.95985
78900;37.11241
79200;37.03275
79500;36.97239
79800;36.93707
80100;36.96522
80400;36.84548
80700;36.78215
81000;36.81353
81300;36.84744
81600;36.74566
81900;36.69386
82200;36.60185
82500;36.67950
82800;36.60546
83100;36.50238
83400;36.47543
83700;36.51626
84000;36.44968
84300;36.51963
84600;36.41563
84900;36.32540
85200;36.42033
85500;36.35212
85800;36.31933
86100;36.31169
