time_s;temperature
0;21.22938
300;21.15525
600;21.23126
900;21.19408
1200;21.10690
1500;21.11612
1800;20.96907
2100;21.02749
2400;20.90690
2700;20.97555
3000;20.90644
3300;20.96878
3600;20.90488
3900;20.86005
4200;20.83927
4500;20.72621
4800;20.85973
5100;20.86453
5400;20.81522
5700;20.73259
6000;20.69581
6300;20.63787
6600;20.68530
6900;20.57281
7200;20.56566
7500;20.70577
7800;20.72302
8100;20.59800
8400;20.63949
8700;20.57873
9000;20.65044
9300;20.59173
9600;20.60068
9900;20.46918
10200;20.54620
10500;20.51610
10800;20.60320
11100;20.50032
11400;20.50880
11700;20.42261
12000;20.51830
12300;20.51155
12600;20.48839
12900;20.56375
13200;20.49894
13500;20.46509
13800;20.45585
14100;20.53338
14400;20.41562
14700;20.46500
15000;20.49399
15300;20.48271
15600;20.50318
15900;20.56774
16200;20.50268
16500;20.47211
16800;20.60533
17100;20.52167
17400;20.56454
17700;20.62580
18000;20.52513
18300;20.66022
18600;20.67078
18900;20.55634
19200;20.57617
19500;20.65419
19800;20.70315
20100;20.68601
20400;20.65705
20700;20.70106
21000;20.72576
21300;20.72229
21600;20.70110
21900;20.78218
22200;20.74647
22500;20.68395
22800;20.72972
23100;20.88275
23400;20.78511
23700;20.86500
24000;20.94529
24300;20.91247
24600;21.04143
24900;20.94470
25200;20.93212
25500;20.92535
25800;20.92960
26100;21.12456
26400;21.01721
26700;21.01844
27000;21.10755
27300;21.12317
27600;21.14644
27900;21.27212
28200;21.24671
28500;21.30755
28800;21.40739
29100;21.28214
29400;21.36284
29700;21.31143
30000;21.48800
30300;21.43110
30600;21.31787
30900;21.43621
31200;21.60839
31500;21.47394
31800;21.59174
32100;21.65316
32400;21.68850
32700;21.82033
33000;21.72060
33300;21.70866
33600;21.74542
33900;21.88010
34200;21.73168
34500;21.89885
34800;22.00202
35100;21.95719
35400;22.05134
35700;21.91125
36000;22.11491
36300;22.09413
36600;22.08963
36900;22.12312
37200;22.26907
37500;22.17282
37800;22.20784
38100;22.35993
38400;22.32638
38700;22.36822
39000;22.32372
39300;22.35466
39600;22.52643
39900;22.48644
40200;22.49938
40500;22.51491
40800;22.55413
41100;22.55285
41400;22.64173
41700;22.61848
42000;22.66017
42300;22.73346
42600;22.80964
42900;22.82900
43200;22.76271
43500;22.81228
43800;22.76527
44100;22.90816
44400;22.94023
44700;22.92957
45000;23.01814
45300;22.94975
45600;23.00892
45900;22.97022
46200;23.04517
46500;23.05116
46800;23.12796
47100;23.10097
47400;23.20125
47700;23.07762
48000;23.21148
48300;23.06516
48600;23.21686
48900;23.30048
49200;23.25413
49500;23.33805
49800;23.24428
50100;23.31946
50400;23.28514
50700;23.41526
51000;23.31334
51300;23.32070
51600;23.44618
51900;23.33247
52200;23.36568
52500;23.44587
52800;23.44002
53100;23.40347
53400;23.44201
53700;23.54571
54000;23.41329
54300;23.47108
54600;23.46275
54900;23.53314
55200;23.42642
55500;23.45831
55800;23.47903
56100;23.46422
56400;23.52217
56700;23.53690
57000;23.52371
57300;23.41418
57600;23.48511
57900;23.48792
58200;23.44082
58500;23.45098
58800;23.58011
59100;23.52754
59400;23.42158
59700;23.50900
60000;23.49903
60300;23.42369
60600;23.47954
60900;23.42326
61200;23.34630
61500;23.40502
61800;23.36283
62100;23.37504
62400;23.41945
62700;23.40691
63000;23.38726
63300;23.36982
63600;23.28688
63900;23.28536
64200;23.36736
64500;23.38205
64800;23.27560
65100;23.27338
65400;23.34641
65700;23.20002
66000;23.21022
66300;23.14885
66600;23.05529
66900;23.11060
67200;23.13735
67500;23.01740
67800;23.09862
68100;22.98571
68400;22.99574
68700;22.99266
69000;22.93153
69300;22.95410
69600;22.92129
69900;22.90441
70200;22.94803
70500;22.80655
70800;22.84402
71100;22.75512
71400;22.76515
71700;22.78420
72000;22.75684
72300;22.65511
72600;22.69425
72900;22.63326
73200;22.59511
73500;22.57252
73800;22.52691
74100;22.45373
74400;22.45922
74700;22.50640
75000;22.37228
75300;22.53350
75600;22.30219
75900;22.35135
76200;22.20259
76500;22.26404
76800;22.12766
77100;22.22267
77400;22.14715
77700;22.16263
78000;22.02001
78300;22.05734
78600;22.04527
78900;22.01201
79200;21.90450
79500;21.92352
79800;21.85784
80100;21.86072
80400;21.73460
80700;21.85965
81000;21.72286
81300;21.74511
81600;21.63056
81900;21.57349
82200;21.65826
82500;21.62549
82800;21.60413
83100;21.54818
83400;21.55820
83700;21.48559
84000;21.39172
84300;21.52774
84600;21.33579
84900;21.38991
85200;21.34328
85500;21.34233
85800;21.25583
86100;21.24893
