time_s;temperature
0;22.65547
300;22.87640
600;22.71330
900;22.88132
1200;22.65643
1500;23.04269
1800;22.96903
2100;22.71844
2400;22.94879
2700;23.20592
3000;23.22174
3300;23.06711
3600;22.99837
3900;22.85292
4200;23.12823
4500;23.21546
4800;23.05046
5100;23.29307
5400;23.27288
5700;23.08241
6000;23.22865
6300;23.16339
6600;23.20823
6900;23.23830
7200;23.39369
7500;23.34983
7800;23.22676
8100;23.33988
8400;23.40040
8700;23.46003
9000;23.66845
9300;23.46130
9600;23.19422
9900;23.11499
10200;23.63382
10500;23.31321
10800;23.29410
11100;23.44885
11400;23.26319
11700;23.66057
12000;23.42511
12300;23.44043
12600;23.42636
12900;23.58833
13200;23.68713
13500;23.41840
13800;23.56579
14100;23.49429
14400;23.43826
14700;23.42402
15000;23.45693
15300;23.52792
15600;23.41730
15900;23.51311
16200;23.57164
16500;23.40190
16800;23.43670
17100;23.47897
17400;23.43740
17700;23.20413
18000;23.48688
18300;23.42460
18600;23.36725
18900;23.41570
19200;23.49988
19500;23.34999
19800;23.33741
20100;23.54226
20400;23.40491
20700;23.22460
21000;23.39808
21300;23.37280
21600;23.23101
21900;23.15100
22200;23.28207
22500;23.23770
22800;23.43260
23100;23.23964
23400;23.25184
23700;23.12119
24000;23.05948
24300;23.00607
24600;23.24835
24900;22.98112
25200;23.13080
25500;22.82382
25800;22.99492
26100;23.07275
26400;22.99825
26700;22.85028
27000;22.88916
27300;22.92306
27600;22.75285
27900;22.82806
28200;22.78353
28500;22.84342
28800;22.88908
29100;22.71040
29400;22.56779
29700;22.79542
30000;22.46511
30300;22.55199
30600;22.54357
30900;22.50395
31200;22.23700
31500;22.54052
31800;22.37794
32100;22.36469
32400;22.35652
32700;22.38272
33000;22.38871
33300;22.24201
33600;22.26473
33900;22.19509
34200;22.22803
34500;22.25688
34800;21.95022
35100;22.14883
35400;21.97211
35700;21.95723
36000;22.04315
36300;21.86309
36600;21.95448
36900;21.98358
37200;21.87414
37500;21.82272
37800;21.95450
38100;21.86287
38400;21.91868
38700;21.64999
39000;21.57342
39300;21.56828
39600;21.67571
39900;21.49935
40200;21.63056
40500;21.45399
40800;21.46738
41100;21.41323
41400;21.53075
41700;21.44486
42000;21.61273
42300;21.39572
42600;21.50562
42900;21.33726
43200;21.22412
43500;21.12229
43800;21.12792
44100;21.09057
44400;21.07498
44700;21.17718
45000;21.09974
45300;21.17491
45600;21.07145
45900;21.04713
46200;20.85812
46500;21.14443
46800;20.90831
47100;20.77022
47400;20.76094
47700;21.04194
48000;20.82162
48300;20.83989
48600;20.83687
48900;20.87670
49200;20.76375
49500;20.74226
49800;20.62146
50100;20.72156
50400;20.62971
50700;20.68366
51000;20.57116
51300;20.70827
51600;20.54414
51900;20.52066
52200;20.59296
52500;20.55951
52800;20.66917
53100;20.43075
53400;20.55874
53700;20.52630
54000;20.60499
54300;20.64717
54600;20.52702
54900;20.52753
55200;20.56258
55500;20.37930
55800;20.43354
56100;20.49491
56400;20.48023
56700;20.61789
57000;20.63647
57300;20.39086
57600;20.58962
57900;20.39210
58200;20.54911
58500;20.49730
58800;20.60118
59100;20.52608
59400;20.42447
59700;20.56459
60000;20.39704
60300;20.44463
60600;20.42847
60900;20.66809
61200;20.62433
61500;20.54499
61800;20.63494
62100;20.62282
62400;20.45066
62700;20.55564
63000;20.75527
63300;20.56150
63600;20.69419
63900;20.74549
64200;20.69239
64500;20.55388
64800;20.64332
65100;20.76638
65400;20.63612
65700;20.71498
66000;20.79897
66300;20.78016
66600;20.79629
66900;20.72447
67200;20.76481
67500;20.83772
67800;20.72314
68100;21.04127
68400;20.95048
68700;21.10202
69000;21.18362
69300;20.95892
69600;20.96790
69900;21.05925
70200;21.04665
70500;21.15622
70800;21.15572
71100;21.15328
71400;21.11169
71700;21.10672
72000;21.20647
72300;21.29093
72600;21.36353
72900;21.38024
73200;21.50595
73500;21.42527
73800;21.31082
74100;21.50994
74400;21.55193
74700;21.75670
75000;21.42298
75300;21.67207
75600;21.43857
75900;21.64407
76200;21.80226
76500;21.72337
76800;21.53466
77100;21.72321
77400;21.79604
77700;21.83766
78000;21.83733
78300;22.01365
78600;22.06327
78900;22.14406
79200;21.88333
79500;21.98835
79800;22.05697
80100;22.21603
80400;22.01253
80700;22.27554
81000;21.98958
81300;22.38951
81600;22.25971
81900;22.12085
82200;22.46717
82500;22.30514
82800;22.31387
83100;22.48165
83400;22.38197
83700;22.53907
84000;22.59606
84300;22.51790
84600;22.50969
84900;22.67334
85200;22.70387
85500;22.72227
85800;22.68286
86100;22.90963
