time_s;temperature
0;21.39710
300;21.37376
600;21.26089
900;21.20420
1200;21.16595
1500;21.13381
1800;21.16362
2100;21.17995
2400;21.17782
2700;21.06358
3000;21.06172
3300;21.03468
3600;20.98482
3900;21.03054
4200;20.98954
4500;20.95662
4800;20.94608
5100;20.93808
5400;20.91724
5700;20.82524
6000;20.89271
6300;20.84194
6600;20.78928
6900;20.80513
7200;20.79362
7500;20.81405
7800;20.69180
8100;20.79511
8400;20.71537
8700;20.67487
9000;20.65992
9300;20.62390
9600;20.57476
9900;20.68416
10200;20.73845
10500;20.54829
10800;20.57207
11100;20.64825
11400;20.60012
11700;20.63653
12000;20.58279
12300;20.55259
12600;20.56475
12900;20.45204
13200;20.50974
13500;20.61079
13800;20.62011
14100;20.62865
14400;20.57890
14700;20.44326
15000;20.52420
15300;20.62276
15600;20.63894
15900;20.62787
16200;20.55056
16500;20.50036
16800;20.56766
17100;20.57511
17400;20.65801
17700;20.59716
18000;20.59331
18300;20.60353
18600;20.62789
18900;20.64793
19200;20.58975
19500;20.58311
19800;20.71519
20100;20.57593
20400;20.75182
20700;20.58698
21000;20.66650
21300;20.75816
21600;20.72403
21900;20.67324
22200;20.77604
22500;20.77432
22800;20.77700
23100;20.77402
23400;20.82146
23700;20.81263
24000;20.98254
24300;20.86845
24600;20.88193
24900;20.89422
25200;21.03135
25500;20.88225
25800;21.00438
26100;20.99712
26400;20.96107
26700;21.01490
27000;21.09576
27300;21.06119
27600;21.14232
27900;21.24114
28200;21.18895
28500;21.13388
28800;21.19072
29100;21.24567
29400;21.26955
29700;21.32233
30000;21.35825
30300;21.45736
30600;21.39915
30900;21.37052
31200;21.51488
31500;21.54966
31800;21.52770
32100;21.53356
32400;21.60701
32700;21.59555
33000;21.53372
33300;21.69525
33600;21.74242
33900;21.80074
34200;21.72316
34500;21.80212
34800;21.83443
35100;21.85761
35400;21.89046
35700;21.91800
36000;21.95820
36300;22.01614
36600;22.07163
36900;22.00430
37200;22.06498
37500;22.08391
37800;22.10815
38100;22.08696
38400;22.20022
38700;22.25413
39000;22.25345
39300;22.29168
39600;22.34383
39900;22.42410
40200;22.36301
40500;22.35570
40800;22.43984
41100;22.56840
41400;22.44582
41700;22.56578
42000;22.62032
42300;22.47303
42600;22.64041
42900;22.67838
43200;22.66284
43500;22.67156
43800;22.70168
44100;22.74178
44400;22.76974
44700;22.78656
45000;22.81974
45300;22.92198
45600;22.82678
45900;22.82469
46200;22.99669
46500;22.95051
46800;22.96400
47100;23.00069
47400;23.03907
47700;23.02427
48000;23.09713
48300;23.04458
48600;23.09794
48900;23.02210
49200;23.21072
49500;23.16202
49800;23.22249
50100;23.23041
50400;23.25109
50700;23.23965
51000;23.27530
51300;23.22308
51600;23.22723
51900;23.29477
52200;23.27925
52500;23.39731
52800;23.35695
53100;23.31389
53400;23.34702
53700;23.37748
54000;23.37701
54300;23.40292
54600;23.40103
54900;23.33566
55200;23.30457
55500;23.39970
55800;23.45198
56100;23.41074
56400;23.49491
56700;23.43428
57000;23.50734
57300;23.49925
57600;23.49570
57900;23.38376
58200;23.44491
58500;23.50462
58800;23.45583
59100;23.46798
59400;23.36824
59700;23.53025
60000;23.39074
60300;23.32591
60600;23.40271
60900;23.29186
61200;23.35327
61500;23.52807
61800;23.37310
62100;23.31200
62400;23.37529
62700;23.31911
63000;23.39656
63300;23.29754
63600;23.34361
63900;23.26013
64200;23.43422
64500;23.31562
64800;23.26871
65100;23.24629
65400;23.21760
65700;23.19099
66000;23.17278
66300;23.27871
66600;23.14918
66900;23.05180
67200;23.08088
67500;23.16594
67800;23.08677
68100;23.07199
68400;23.11599
68700;22.99693
69000;23.04521
69300;22.95752
69600;22.99656
69900;22.92459
70200;22.90801
70500;22.93660
70800;22.90806
71100;22.83705
71400;22.79600
71700;22.87340
72000;22.79640
72300;22.72050
72600;22.68018
72900;22.73651
73200;22.66314
73500;22.62099
73800;22.60641
74100;22.58876
74400;22.53997
74700;22.57367
75000;22.54689
75300;22.48072
75600;22.49285
75900;22.39432
76200;22.39801
76500;22.38314
76800;22.35314
77100;22.31711
77400;22.27186
77700;22.30704
78000;22.15098
78300;22.13890
78600;22.10456
78900;22.06545
79200;21.95295
79500;22.08963
79800;21.93808
80100;21.96638
80400;21.85531
80700;21.92600
81000;21.82430
81300;21.77544
81600;21.81071
81900;21.73480
82200;21.71008
82500;21.71646
82800;21.71709
83100;21.60554
83400;21.56644
83700;21.58690
84000;21.58261
84300;21.59891
84600;21.44257
84900;21.45083
85200;21.49637
85500;21.50735
85800;21.33044
86100;21.31485
