time_s;temperature
0;22.71885
300;22.66285
600;22.81710
900;22.87721
1200;22.81106
1500;22.94859
1800;22.95457
2100;22.87526
2400;22.96414
2700;22.94711
3000;22.98496
3300;23.01524
3600;23.10798
3900;23.10092
4200;23.05404
4500;23.12505
4800;23.16954
5100;23.21336
5400;23.33134
5700;23.24131
6000;23.12107
6300;23.09450
6600;23.36671
6900;23.21894
7200;23.22164
7500;23.31101
7800;23.22989
8100;23.44000
8400;23.33341
8700;23.35191
9000;23.35542
9300;23.44663
9600;23.50596
9900;23.38120
10200;23.46418
10500;23.43740
10800;23.41802
11100;23.41920
11400;23.44362
11700;23.48674
12000;23.43872
12300;23.49356
12600;23.52940
12900;23.45077
13200;23.47404
13500;23.50069
13800;23.48505
14100;23.37320
14400;23.51900
14700;23.49191
15000;23.46691
15300;23.49444
15600;23.53946
15900;23.46707
16200;23.46296
16500;23.56719
16800;23.49994
17100;23.41082
17400;23.49823
17700;23.48587
18000;23.41488
18300;23.37439
18600;23.43907
18900;23.41565
19200;23.51148
19500;23.41300
19800;23.41673
20100;23.34865
20400;23.31467
20700;23.28446
21000;23.40173
21300;23.26388
21600;23.33411
21900;23.17564
22200;23.25585
22500;23.28907
22800;23.24576
23100;23.16537
23400;23.17804
23700;23.18787
24000;23.09531
24300;23.12511
24600;23.09471
24900;23.11618
25200;23.13020
25500;23.03173
25800;22.95097
26100;23.05501
26400;22.87977
26700;22.91282
27000;22.89791
27300;22.86711
27600;22.72235
27900;22.86254
28200;22.76939
28500;22.75063
28800;22.73415
29100;22.73458
29400;22.72465
29700;22.63812
30000;22.63605
30300;22.58757
30600;22.59015
30900;22.59045
31200;22.42278
31500;22.50752
31800;22.40440
32100;22.38200
32400;22.40980
32700;22.30444
33000;22.33461
33300;22.33348
33600;22.26291
33900;22.22119
34200;22.27093
34500;22.20883
34800;22.22031
35100;22.06942
35400;22.01447
35700;21.99512
36000;22.03197
36300;21.92683
36600;21.97538
36900;21.86997
37200;21.85947
37500;21.81514
37800;21.85660
38100;21.79631
38400;21.86285
38700;21.73694
39000;21.77446
39300;21.67284
39600;21.59883
39900;21.53048
40200;21.51588
40500;21.47980
40800;21.45464
41100;21.48841
41400;21.43242
41700;21.45278
42000;21.38389
42300;21.35464
42600;21.24313
42900;21.36937
43200;21.23449
43500;21.14872
43800;21.12748
44100;21.25149
44400;21.12498
44700;21.11790
45000;21.10031
45300;21.10430
45600;21.03206
45900;21.00572
46200;20.92989
46500;20.96470
46800;20.90371
47100;20.91583
47400;20.84492
47700;20.89903
48000;20.80273
48300;20.77699
48600;20.79936
48900;20.76909
49200;20.81062
49500;20.67837
49800;20.72957
50100;20.70082
50400;20.72790
50700;20.73700
51000;20.66522
51300;20.65404
51600;20.66044
51900;20.55796
52200;20.57454
52500;20.59499
52800;20.57772
53100;20.63695
53400;20.63694
53700;20.50518
54000;20.59592
54300;20.48886
54600;20.55940
54900;20.52586
55200;20.57052
55500;20.52604
55800;20.46865
56100;20.53248
56400;20.44283
56700;20.46112
57000;20.44788
57300;20.56291
57600;20.53661
57900;20.49289
58200;20.53418
58500;20.52482
58800;20.43581
59100;20.48574
59400;20.58338
59700;20.48469
60000;20.54961
60300;20.57422
60600;20.54701
60900;20.47747
61200;20.52229
61500;20.58430
61800;20.52003
62100;20.56070
62400;20.60431
62700;20.59690
63000;20.60734
63300;20.57418
63600;20.59748
63900;20.63743
64200;20.58401
64500;20.74732
64800;20.70653
65100;20.78728
65400;20.83341
65700;20.72676
66000;20.73731
66300;20.78940
66600;20.78986
66900;20.85177
67200;20.85898
67500;20.86556
67800;20.85291
68100;20.85889
68400;20.91758
68700;20.96894
69000;21.01469
69300;21.03282
69600;21.10576
69900;21.07581
70200;21.02928
70500;21.13983
70800;21.17212
71100;21.28608
71400;21.13107
71700;21.26775
72000;21.16340
72300;21.27882
72600;21.37083
72900;21.34457
73200;21.26364
73500;21.37158
73800;21.42189
74100;21.45682
74400;21.47100
74700;21.57372
75000;21.61329
75300;21.66865
75600;21.55344
75900;21.62129
76200;21.67111
76500;21.76633
76800;21.68043
77100;21.82794
77400;21.70111
77700;21.91736
78000;21.86888
78300;21.81600
78600;22.00583
78900;21.94158
79200;21.96282
79500;22.06368
79800;22.03088
80100;22.12656
80400;22.17225
80700;22.15042
81000;22.16362
81300;22.26280
81600;22.29544
81900;22.32205
82200;22.31978
82500;22.45060
82800;22.44030
83100;22.40071
83400;22.41183
83700;22.44324
84000;22.50412
84300;22.58938
84600;22.59515
84900;22.63705
85200;22.72867
85500;22.71825
85800;22.69678
86100;22.67373
