time_s;temperature
0;24.96264
300;24.49867
600;24.47129
900;25.31021
1200;24.80976
1500;24.97240
1800;24.83647
2100;24.73265
2400;25.05952
2700;25.24819
3000;24.16791
3300;24.65887
3600;24.65311
3900;24.53401
4200;24.95394
4500;24.73364
4800;25.23128
5100;24.98091
5400;25.05755
5700;24.28582
6000;24.40129
6300;24.42369
6600;25.03553
6900;24.34637
7200;24.35320
7500;24.29635
7800;25.45698
8100;24.58684
8400;24.78705
8700;24.28460
9000;24.91340
9300;24.09249
9600;24.32999
9900;24.40352
10200;24.68796
10500;24.38387
10800;25.07864
11100;24.77217
11400;24.41423
11700;24.92044
12000;24.50334
12300;24.44450
12600;24.89082
12900;23.88681
13200;24.84381
13500;24.41028
13800;24.41081
14100;25.21374
14400;24.46818
14700;24.91569
15000;24.71420
15300;24.74695
15600;24.55866
15900;24.54490
16200;25.09613
16500;24.91902
16800;24.49225
17100;24.33079
17400;24.47173
17700;24.94417
18000;25.00609
18300;24.82185
18600;24.17334
18900;24.88762
19200;25.05579
19500;24.72013
19800;25.26547
20100;24.27881
20400;24.88422
20700;24.37650
21000;25.00402
21300;24.87431
21600;25.23496
21900;24.84866
22200;24.58184
22500;24.56011
22800;24.63686
23100;24.56327
23400;25.12529
23700;25.10860
24000;24.28177
24300;24.74717
24600;24.75941
24900;24.51135
25200;24.88236
25500;25.19437
25800;25.02895
26100;25.17089
26400;24.55665
26700;24.78864
27000;24.55354
27300;24.86067
27600;24.89334
27900;25.08817
28200;25.20003
28500;25.01849
28800;24.55960
29100;24.41789
29400;24.98548
29700;25.28560
30000;24.83401
30300;24.38926
30600;25.47896
30900;25.00644
31200;24.91706
31500;24.52145
31800;24.88284
32100;25.09019
32400;25.04119
32700;24.69248
33000;24.88550
33300;24.72398
33600;25.41420
33900;25.18957
34200;24.76996
34500;24.58287
34800;25.02288
35100;24.79780
35400;24.82624
35700;24.61724
36000;24.66042
36300;25.01866
36600;24.89578
36900;25.73075
37200;25.16598
37500;24.64806
37800;24.53871
38100;25.12464
38400;24.89186
38700;25.41605
39000;25.10679
39300;24.43305
39600;24.72750
39900;24.83619
40200;25.17678
40500;24.73366
40800;25.10059
41100;24.65908
41400;25.06688
41700;25.18107
42000;25.51346
42300;25.15355
42600;24.83964
42900;25.53727
43200;25.03902
43500;25.33057
43800;24.91906
44100;25.13449
44400;24.87112
44700;25.21231
45000;25.36082
45300;24.97517
45600;24.96213
45900;25.23821
46200;24.88727
46500;24.68290
46800;25.24763
47100;25.11265
47400;25.10946
47700;25.30749
48000;25.35233
48300;25.10862
48600;24.82281
48900;24.97060
49200;25.34012
49500;25.20787
49800;25.00422
50100;24.93591
50400;25.35852
50700;25.10849
51000;25.40249
51300;25.44203
51600;25.08581
51900;25.46585
52200;25.22364
52500;25.26348
52800;24.52743
53100;24.89354
53400;24.91044
53700;25.09035
54000;25.22061
54300;25.23311
54600;25.27236
54900;24.98111
55200;25.39383
55500;25.72890
55800;25.07967
56100;24.98599
56400;24.97878
56700;25.20917
57000;25.02483
57300;24.66235
57600;24.74318
57900;25.48489
58200;25.56186
58500;25.65566
58800;25.24182
59100;24.87476
59400;25.03861
59700;24.72045
60000;24.70662
60300;25.23977
60600;25.32238
60900;25.74554
61200;25.13034
61500;24.74503
61800;25.11280
62100;25.06152
62400;24.99566
62700;25.24280
63000;24.77188
63300;25.17186
63600;25.32444
63900;25.55110
64200;25.21440
64500;25.43023
64800;24.98003
65100;25.01771
65400;25.50906
65700;24.68884
66000;24.97489
66300;25.42979
66600;25.02326
66900;24.99616
67200;24.99740
67500;25.10723
67800;25.39291
68100;25.33928
68400;25.06030
68700;25.37935
69000;25.14888
69300;25.29871
69600;24.72704
69900;25.55163
70200;25.09057
70500;24.19441
70800;25.51110
71100;25.00904
71400;24.88311
71700;24.81425
72000;25.12195
72300;24.71769
72600;24.80520
72900;24.80644
73200;24.87863
73500;24.80571
73800;25.21005
74100;25.02945
74400;25.05994
74700;25.11909
75000;24.90184
75300;24.61753
75600;25.45901
75900;25.18956
76200;25.38898
76500;25.20932
76800;24.75468
77100;24.18224
77400;24.51175
77700;25.06529
78000;24.83769
78300;24.73614
78600;24.10734
78900;24.84600
79200;24.51936
79500;24.62057
79800;25.08693
80100;24.51721
80400;24.53994
80700;24.86985
81000;25.07005
81300;24.68175
81600;25.23699
81900;24.40754
82200;24.34929
82500;24.31815
82800;24.27877
83100;24.86993
83400;24.47024
83700;24.33520
84000;24.86694
84300;24.99501
84600;25.05797
84900;25.00027
85200;24.45730
85500;24.81069
85800;24.87214
86100;24.57592
