time_seconds;temperature
0;22.92000
300;22.82000
600;22.90000
900;22.85000
1200;22.82000
1500;22.92000
1800;22.90000
2100;22.94000
2400;22.82000
2700;22.94000
3000;22.85000
3300;22.87000
3600;22.82000
3900;22.90000
4200;22.97000
4500;23.02000
4800;22.87000
5100;22.94000
5400;22.90000
5700;23.06000
6000;22.68000
6300;22.78000
6600;22.61000
6900;22.49000
7200;22.61000
7500;22.51000
7800;22.54000
8100;22.44000
8400;22.47000
8700;22.38000
9000;22.44000
9300;22.44000
9600;22.24000
9900;22.29000
10200;22.31000
10500;22.29000
10800;22.38000
11100;22.35000
11400;22.38000
11700;22.35000
12000;22.42000
12300;22.24000
12600;22.24000
12900;22.31000
13200;22.26000
13500;22.42000
13800;22.35000
14100;22.29000
14400;22.24000
14700;22.19000
15000;22.19000
15300;22.24000
15600;22.17000
15900;22.19000
16200;22.17000
16500;22.08000
16800;22.13000
17100;22.17000
17400;22.04000
17700;22.06000
18000;22.04000
18300;21.90000
18600;21.85000
18900;22.06000
19200;22.13000
19500;22.13000
19800;22.13000
20100;22.15000
20400;22.19000
20700;22.17000
21000;22.08000
21300;22.13000
21600;22.24000
21900;22.01000
22200;22.10000
22500;22.33000
22800;22.70000
23100;23.18000
23400;23.14000
23700;23.32000
24000;23.29000
24300;23.45000
24600;23.36000
24900;23.04000
25200;22.90000
25500;23.14000
25800;23.11000
26100;23.36000
26400;23.32000
26700;23.70000
27000;23.61000
27300;23.63000
27600;23.66000
27900;23.73000
28200;23.63000
28500;23.89000
28800;23.77000
29100;23.96000
29400;23.84000
29700;23.04000
30000;22.99000
30300;22.92000
30600;22.94000
30900;23.14000
31200;23.68000
31500;23.06000
31800;23.04000
32100;23.09000
32400;23.18000
32700;23.25000
33000;23.20000
33300;23.14000
33600;22.97000
33900;23.06000
34200;23.20000
34500;23.32000
34800;23.45000
35100;23.73000
35400;24.03000
35700;24.15000
36000;24.20000
36300;24.20000
36600;24.06000
36900;24.17000
37200;24.20000
37500;24.13000
37800;24.20000
38100;24.08000
38400;24.13000
38700;24.08000
39000;24.13000
39300;24.17000
39600;24.22000
39900;24.13000
40200;24.27000
40500;24.29000
40800;24.38000
41100;24.22000
41400;24.15000
41700;24.22000
42000;24.10000
42300;24.20000
42600;24.29000
42900;24.29000
43200;24.22000
43500;24.34000
43800;24.24000
44100;24.24000
44400;24.24000
44700;24.29000
45000;24.29000
45300;24.38000
45600;24.27000
45900;24.20000
46200;24.20000
46500;24.20000
46800;24.24000
47100;24.24000
47400;24.29000
47700;24.32000
48000;24.20000
48300;24.20000
48600;24.17000
48900;24.29000
49200;24.24000
49500;24.22000
49800;24.22000
50100;24.24000
50400;24.22000
50700;24.29000
51000;24.27000
51300;24.29000
51600;24.29000
51900;24.29000
52200;24.15000
52500;24.29000
52800;24.22000
53100;24.17000
53400;24.24000
53700;24.24000
54000;24.29000
54300;24.24000
54600;24.27000
54900;24.34000
55200;24.47000
55500;24.29000
55800;24.41000
56100;24.41000
56400;24.59000
56700;24.41000
57000;24.52000
57300;24.32000
57600;24.52000
57900;24.34000
58200;24.20000
58500;24.10000
58800;24.20000
59100;24.34000
59400;24.56000
59700;24.72000
60000;24.84000
60300;24.84000
60600;24.79000
60900;24.88000
61200;24.81000
61500;24.66000
61800;24.81000
62100;24.72000
62400;24.77000
62700;24.54000
63000;24.59000
63300;23.84000
63600;23.61000
63900;23.61000
64200;23.54000
64500;23.54000
64800;23.48000
65100;23.57000
65400;23.48000
65700;23.57000
66000;23.48000
66300;23.52000
66600;23.54000
66900;23.52000
67200;23.57000
67500;23.41000
67800;23.50000
68100;23.45000
68400;23.43000
68700;23.34000
69000;23.52000
69300;23.43000
69600;23.50000
69900;23.36000
70200;23.45000
70500;23.41000
70800;23.36000
71100;23.45000
71400;23.32000
71700;23.45000
72000;23.34000
72300;23.34000
72600;23.18000
72900;23.29000
73200;23.38000
73500;23.38000
73800;23.25000
74100;23.20000
74400;23.34000
74700;23.25000
75000;23.29000
75300;23.27000
75600;23.32000
75900;23.32000
76200;23.32000
76500;23.23000
76800;23.27000
77100;23.29000
77400;23.34000
77700;23.29000
78000;23.34000
78300;23.20000
78600;23.25000
78900;23.27000
79200;23.20000
79500;23.29000
79800;23.29000
80100;23.23000
80400;23.06000
80700;23.18000
81000;23.16000
81300;23.09000
81600;23.18000
81900;23.23000
82200;23.27000
82500;23.11000
82800;23.20000
83100;23.16000
83400;23.16000
83700;23.11000
84000;23.25000
84300;23.16000
84600;23.14000
84900;23.14000
85200;23.16000
85500;23.14000
85800;23.16000
86100;23.14000
