time_seconds;temperature
0;25.96000
300;25.77000
600;25.46000
900;25.46000
1200;25.46000
1500;25.44000
1800;25.51000
2100;25.46000
2400;25.46000
2700;25.51000
3000;25.51000
3300;25.60000
3600;25.46000
3900;25.44000
4200;25.46000
4500;25.53000
4800;25.63000
5100;25.53000
5400;25.51000
5700;25.74000
6000;25.56000
6300;26.76000
6600;25.84000
6900;26.55000
7200;27.01000
7500;27.01000
7800;26.99000
8100;26.97000
8400;27.01000
8700;26.94000
9000;26.99000
9300;27.04000
9600;26.85000
9900;26.97000
10200;27.04000
10500;26.90000
10800;26.94000
11100;26.90000
11400;26.90000
11700;26.83000
12000;26.76000
12300;26.83000
12600;26.73000
12900;26.69000
13200;26.60000
13500;26.71000
13800;26.83000
14100;27.13000
14400;26.76000
14700;26.67000
15000;26.73000
15300;26.73000
15600;26.83000
15900;26.85000
16200;26.78000
16500;26.85000
16800;26.85000
17100;26.76000
17400;26.87000
17700;26.94000
18000;26.73000
18300;26.73000
18600;26.73000
18900;26.71000
19200;26.69000
19500;26.67000
19800;26.67000
20100;26.64000
20400;26.73000
20700;26.71000
21000;26.71000
21300;26.71000
21600;26.55000
21900;26.73000
22200;26.76000
22500;26.76000
22800;26.73000
23100;26.73000
23400;26.64000
23700;26.67000
24000;26.71000
24300;26.60000
24600;26.69000
24900;26.80000
25200;26.71000
25500;26.62000
25800;26.57000
26100;26.42000
26400;26.53000
26700;26.60000
27000;26.51000
27300;26.62000
27600;26.73000
27900;26.90000
28200;26.62000
28500;26.73000
28800;26.62000
29100;26.67000
29400;26.69000
29700;26.80000
30000;26.80000
30300;26.76000
30600;26.83000
30900;26.78000
31200;26.80000
31500;26.85000
31800;26.80000
32100;26.87000
32400;26.87000
32700;26.99000
33000;26.99000
33300;26.94000
33600;26.92000
33900;26.90000
34200;26.94000
34500;27.06000
34800;27.08000
35100;27.08000
35400;27.13000
35700;27.06000
36000;27.20000
36300;27.74000
36600;27.27000
36900;27.25000
37200;27.29000
37500;27.45000
37800;27.34000
38100;27.34000
38400;27.31000
38700;27.40000
39000;27.45000
39300;27.40000
39600;27.47000
39900;27.36000
40200;27.45000
40500;27.38000
40800;27.47000
41100;27.54000
41400;27.43000
41700;27.54000
42000;27.40000
42300;27.59000
42600;27.45000
42900;27.59000
43200;27.61000
43500;27.68000
43800;27.68000
44100;27.59000
44400;27.61000
44700;27.74000
45000;27.70000
45300;27.63000
45600;27.79000
45900;27.74000
46200;27.86000
46500;27.70000
46800;27.79000
47100;27.86000
47400;27.84000
47700;28.12000
48000;27.74000
48300;28.00000
48600;27.98000
48900;28.02000
49200;27.98000
49500;28.07000
49800;28.07000
50100;28.12000
50400;28.12000
50700;28.14000
51000;28.17000
51300;28.33000
51600;28.33000
51900;28.28000
52200;28.38000
52500;28.38000
52800;28.40000
53100;28.43000
53400;28.45000
53700;28.58000
54000;28.69000
54300;28.69000
54600;28.72000
54900;28.74000
55200;28.78000
55500;28.76000
55800;28.85000
56100;28.92000
56400;28.80000
56700;28.83000
57000;28.96000
57300;29.05000
57600;29.03000
57900;29.01000
58200;29.03000
58500;28.89000
58800;28.98000
59100;28.98000
59400;29.01000
59700;29.05000
60000;28.96000
60300;29.03000
60600;28.96000
60900;28.98000
61200;28.89000
61500;29.01000
61800;28.98000
62100;28.94000
62400;28.98000
62700;28.85000
63000;28.83000
63300;28.87000
63600;28.80000
63900;27.74000
64200;27.49000
64500;27.45000
64800;27.59000
65100;27.56000
65400;27.63000
65700;27.59000
66000;27.56000
66300;27.56000
66600;27.43000
66900;27.54000
67200;27.56000
67500;27.34000
67800;27.36000
68100;27.38000
68400;27.34000
68700;27.36000
69000;27.27000
69300;27.22000
69600;27.34000
69900;27.22000
70200;27.13000
70500;27.27000
70800;27.15000
71100;28.63000
71400;28.96000
71700;28.74000
72000;28.74000
72300;28.40000
72600;28.40000
72900;28.28000
73200;28.21000
73500;28.07000
73800;27.95000
74100;28.24000
74400;27.95000
74700;27.95000
75000;28.12000
75300;28.00000
75600;27.84000
75900;27.81000
76200;27.91000
76500;27.79000
76800;27.77000
77100;27.84000
77400;27.77000
77700;27.74000
78000;27.61000
78300;27.56000
78600;27.74000
78900;27.63000
79200;27.56000
79500;27.47000
79800;27.63000
80100;27.47000
80400;27.54000
80700;27.40000
81000;27.36000
81300;27.47000
81600;27.40000
81900;27.40000
82200;26.26000
82500;25.89000
82800;25.91000
83100;25.91000
83400;25.89000
83700;25.91000
84000;25.86000
84300;25.93000
84600;25.91000
84900;25.89000
85200;25.79000
85500;25.84000
85800;25.91000
86100;25.84000
86400;25.82000
86700;25.89000
87000;25.93000
87300;25.84000
87600;25.79000
87900;25.86000
88200;25.77000
88500;25.79000
88800;25.89000
89100;25.82000
89400;25.86000
89700;25.84000
90000;25.82000
90300;25.98000
90600;25.82000
90900;25.74000
91200;25.72000
91500;25.72000
91800;25.77000
92100;25.84000
92400;25.72000
92700;26.14000
93000;26.12000
93300;26.73000
93600;27.59000
93900;27.45000
94200;27.36000
94500;27.49000
94800;27.43000
95100;27.47000
95400;27.43000
95700;27.34000
96000;27.15000
96300;27.18000
96600;27.27000
96900;27.15000
97200;27.27000
97500;27.04000
97800;27.20000
98100;27.15000
98400;27.06000
98700;27.18000
99000;26.94000
99300;27.06000
99600;27.04000
99900;27.06000
100200;27.01000
100500;26.97000
100800;26.99000
101100;26.92000
101400;27.04000
101700;26.94000
102000;26.92000
102300;26.94000
102600;26.90000
102900;26.80000
103200;26.73000
103500;26.97000
103800;26.90000
104100;26.83000
104400;26.71000
104700;26.19000
105000;26.44000
105300;26.30000
105600;26.21000
105900;26.26000
106200;26.08000
106500;26.19000
106800;26.10000
107100;26.21000
107400;26.08000
107700;26.26000
108000;26.28000
108300;26.21000
108600;26.21000
108900;26.17000
109200;26.21000
109500;26.23000
109800;26.23000
110100;26.46000
110400;26.21000
110700;26.28000
111000;26.28000
111300;26.28000
111600;26.26000
111900;26.46000
112200;26.42000
112500;26.39000
112800;26.48000
113100;26.44000
113400;26.53000
113700;26.51000
114000;26.57000
114300;26.37000
114600;26.48000
114900;26.48000
115200;26.37000
115500;26.46000
115800;26.53000
116100;26.51000
116400;26.46000
116700;26.57000
117000;26.39000
117300;26.53000
117600;26.51000
117900;26.48000
118200;26.62000
118500;26.53000
118800;26.60000
119100;26.62000
119400;26.67000
119700;26.64000
120000;26.62000
120300;26.57000
120600;26.57000
120900;26.69000
121200;26.73000
121500;26.60000
121800;26.85000
122100;26.78000
122400;26.69000
122700;26.87000
123000;26.94000
123300;26.78000
123600;26.85000
123900;26.94000
124200;26.80000
124500;26.97000
124800;27.08000
125100;26.90000
125400;27.08000
125700;26.94000
126000;27.04000
126300;27.08000
126600;27.13000
126900;27.08000
127200;27.08000
127500;27.22000
127800;27.08000
128100;27.20000
128400;27.22000
128700;27.18000
129000;27.18000
129300;27.31000
129600;27.40000
129900;27.31000
130200;27.36000
130500;27.25000
130800;27.11000
131100;27.22000
131400;27.59000
131700;27.59000
132000;27.72000
132300;27.74000
132600;27.68000
132900;27.84000
133200;27.79000
133500;27.91000
133800;27.74000
134100;27.79000
134400;27.88000
134700;27.95000
135000;27.98000
135300;27.98000
135600;28.12000
135900;28.14000
136200;28.09000
136500;28.21000
136800;28.12000
137100;28.26000
137400;28.19000
137700;28.38000
138000;28.45000
138300;28.54000
138600;28.45000
138900;28.58000
139200;28.54000
139500;28.72000
139800;28.65000
140100;28.85000
140400;28.65000
140700;28.85000
141000;28.80000
141300;28.89000
141600;28.89000
141900;28.87000
142200;29.10000
142500;29.08000
142800;28.98000
143100;29.01000
143400;29.12000
143700;29.03000
144000;29.08000
144300;29.15000
144600;29.15000
144900;29.12000
145200;29.12000
145500;29.08000
145800;29.12000
146100;29.12000
146400;29.10000
146700;29.08000
147000;29.15000
147300;29.19000
147600;29.03000
147900;29.12000
148200;29.05000
148500;29.15000
148800;29.05000
149100;28.98000
149400;28.94000
149700;29.10000
150000;29.08000
150300;28.00000
150600;27.72000
150900;27.68000
151200;27.70000
151500;27.65000
151800;27.68000
152100;27.77000
152400;27.65000
152700;27.74000
153000;27.74000
153300;27.70000
153600;27.47000
153900;27.56000
154200;27.59000
154500;27.56000
154800;27.38000
155100;27.38000
155400;27.49000
155700;27.38000
156000;27.47000
156300;27.34000
156600;27.31000
156900;27.20000
157200;27.18000
157500;28.65000
157800;28.98000
158100;28.94000
158400;28.87000
158700;28.54000
159000;28.40000
159300;28.38000
159600;28.26000
159900;28.21000
160200;28.12000
160500;28.02000
160800;28.24000
161100;28.02000
161400;27.95000
161700;27.86000
162000;27.91000
162300;27.86000
162600;27.84000
162900;27.70000
163200;27.61000
163500;27.63000
163800;27.74000
164100;27.70000
164400;27.54000
164700;27.45000
165000;27.52000
165300;27.52000
165600;27.38000
165900;27.47000
166200;27.52000
166500;27.38000
166800;27.29000
167100;26.97000
167400;26.19000
167700;26.10000
168000;26.10000
168300;26.14000
168600;26.19000
168900;26.08000
169200;26.00000
169500;26.12000
169800;26.08000
170100;26.08000
170400;26.10000
170700;26.10000
171000;26.08000
171300;25.98000
171600;26.03000
171900;26.08000
172200;26.08000
172500;26.03000
172800;26.03000
173100;26.05000
173400;25.93000
173700;26.03000
174000;26.10000
174300;26.05000
174600;25.93000
174900;25.93000
175200;26.00000
175500;26.00000
175800;26.00000
176100;25.98000
176400;25.89000
176700;25.93000
177000;26.00000
177300;26.00000
177600;26.03000
177900;25.93000
178200;26.00000
178500;26.08000
178800;25.96000
179100;26.42000
179400;26.32000
179700;26.64000
180000;27.36000
180300;27.47000
180600;27.54000
180900;27.54000
181200;27.43000
181500;27.56000
181800;27.54000
182100;27.40000
182400;27.52000
182700;27.38000
183000;27.34000
183300;27.43000
183600;27.43000
183900;27.29000
184200;27.20000
184500;27.38000
184800;27.36000
185100;27.43000
185400;27.34000
185700;27.22000
186000;27.38000
186300;27.31000
186600;27.29000
186900;27.29000
187200;27.18000
187500;27.18000
187800;27.27000
188100;26.55000
188400;26.99000
188700;27.13000
189000;27.13000
189300;27.01000
189600;26.97000
189900;26.94000
190200;27.01000
190500;26.94000
190800;26.92000
191100;26.94000
191400;26.87000
191700;27.01000
192000;27.11000
192300;27.01000
192600;27.06000
192900;27.01000
193200;26.94000
193500;27.04000
193800;26.94000
194100;27.04000
194400;26.97000
194700;26.87000
195000;27.18000
195300;27.08000
195600;27.01000
195900;27.01000
196200;27.11000
196500;27.01000
196800;27.11000
197100;27.20000
197400;27.20000
197700;27.15000
198000;27.20000
198300;27.45000
198600;27.27000
198900;27.25000
199200;27.18000
199500;27.25000
199800;27.25000
200100;27.15000
200400;27.36000
200700;27.34000
201000;27.34000
201300;27.43000
201600;27.40000
201900;27.47000
202200;27.49000
202500;27.47000
202800;27.40000
203100;27.29000
203400;27.01000
203700;27.01000
204000;27.11000
204300;27.11000
204600;27.31000
204900;27.27000
205200;27.31000
205500;27.20000
205800;27.34000
206100;26.99000
206400;26.94000
206700;27.29000
207000;27.38000
207300;27.43000
207600;27.34000
207900;27.43000
208200;27.34000
208500;27.29000
208800;27.40000
209100;27.49000
209400;27.34000
209700;27.34000
210000;27.38000
210300;27.49000
210900;27.47000
211200;27.56000
211500;27.65000
211800;27.79000
212100;27.81000
212400;27.74000
212700;27.79000
213000;27.70000
213300;27.86000
213600;27.98000
213900;28.00000
214200;27.95000
214500;27.98000
214800;27.91000
215100;27.93000
215400;27.88000
215700;28.05000
216000;28.02000
216300;28.14000
216600;28.47000
216900;28.60000
217200;28.67000
217500;28.72000
217800;28.60000
218100;28.74000
218400;28.72000
218700;28.74000
219000;28.85000
219300;28.98000
219600;28.89000
219900;28.83000
220200;28.98000
220500;29.01000
220800;29.03000
221100;28.94000
221400;29.08000
221700;29.08000
222000;29.05000
222300;29.01000
222600;29.03000
222900;29.15000
223200;29.05000
223500;29.17000
223800;29.29000
224100;29.22000
224400;29.24000
224700;29.10000
225000;29.17000
225300;29.29000
225600;29.36000
225900;29.38000
226200;29.34000
226500;29.38000
226800;29.43000
227100;29.34000
227400;29.60000
227700;29.50000
228000;29.62000
228300;29.66000
228600;29.60000
228900;29.69000
229200;29.78000
229500;29.78000
229800;29.94000
230100;29.89000
230400;29.91000
230700;29.91000
231000;29.89000
231300;29.87000
231600;29.87000
231900;29.82000
232200;29.84000
232500;29.80000
232800;29.69000
233100;29.73000
233400;29.78000
233700;29.71000
234000;29.64000
234300;29.66000
234600;29.62000
234900;29.60000
235200;29.57000
235500;29.60000
235800;29.55000
236100;29.55000
236400;29.50000
236700;28.35000
237000;28.02000
237300;27.81000
237600;27.74000
237900;27.72000
238200;27.84000
238500;27.74000
238800;27.79000
239100;27.79000
239400;27.84000
239700;27.81000
240000;27.81000
240300;27.70000
240600;27.79000
240900;27.74000
241200;27.70000
241500;27.65000
241800;27.65000
242100;27.63000
242400;27.61000
242700;27.61000
243000;27.56000
243300;27.56000
243600;27.54000
243900;29.22000
244200;29.38000
244500;29.31000
244800;29.17000
245100;29.05000
245400;28.94000
245700;28.85000
246000;28.92000
246300;28.92000
246600;28.72000
246900;28.67000
247200;28.58000
247500;28.58000
247800;28.60000
248100;28.47000
248400;28.49000
248700;28.38000
249000;28.40000
249300;28.43000
249600;28.45000
249900;28.26000
250200;28.31000
250500;28.09000
250800;28.33000
251100;28.17000
251400;28.19000
251700;28.19000
252000;28.07000
252300;28.09000
252600;28.05000
252900;27.95000
253200;27.91000
253500;28.05000
253800;27.93000
254100;27.81000
254400;27.88000
254700;27.70000
255000;27.84000
255300;27.84000
255600;27.84000
255900;27.81000
256200;27.91000
256500;27.84000
256800;27.72000
257100;27.74000
257400;27.63000
257700;27.65000
258000;27.56000
258300;27.61000
258600;27.49000
258900;27.59000
259200;27.63000
259500;27.70000
259800;27.49000
260100;27.59000
260400;27.45000
260700;27.47000
261000;27.49000
261300;27.45000
261600;27.54000
261900;27.34000
262200;27.49000
262500;27.43000
262800;27.49000
263100;27.36000
263400;27.29000
263700;27.22000
264000;27.34000
264300;27.25000
264600;27.15000
264900;27.20000
265200;27.59000
265500;27.15000
265800;27.18000
266100;27.20000
266400;27.20000
266700;27.25000
267000;27.11000
267300;27.27000
267600;27.15000
267900;27.25000
268200;27.29000
268500;27.18000
268800;27.13000
269100;27.25000
269400;27.04000
269700;27.20000
270000;27.04000
270300;27.18000
270600;27.15000
270900;27.04000
271200;27.15000
271500;27.43000
271800;27.13000
272100;27.18000
272400;27.11000
272700;27.25000
273000;27.13000
273300;27.08000
273600;27.18000
273900;27.22000
274200;27.20000
274500;27.49000
274800;27.25000
275100;27.22000
275400;27.18000
275700;27.15000
276000;27.36000
276300;27.38000
276600;27.22000
276900;27.11000
277200;27.18000
277500;27.15000
277800;27.22000
278100;27.15000
278400;27.15000
278700;26.73000
279000;26.42000
279300;26.67000
279600;26.60000
279900;26.67000
280200;26.67000
280500;26.83000
280800;26.83000
281100;25.46000
281400;25.49000
281700;25.35000
282000;25.46000
282300;25.56000
282600;25.42000
282900;25.49000
283200;25.49000
283500;25.14000
283800;25.23000
284100;25.39000
284400;25.56000
284700;25.23000
285000;25.49000
285300;25.32000
285600;26.03000
285900;25.98000
286200;25.98000
286500;25.79000
286800;25.35000
287100;25.67000
287400;25.58000
287700;25.53000
288000;25.21000
288300;24.97000
288600;24.72000
288900;24.86000
289200;24.91000
289500;24.91000
289800;24.66000
290100;24.77000
290400;24.81000
290700;24.66000
291000;24.63000
291300;24.63000
291600;24.68000
291900;24.97000
292200;25.25000
292500;25.09000
292800;25.60000
293100;25.51000
293400;25.72000
293700;25.46000
294000;25.53000
294300;25.21000
294600;25.58000
294900;25.82000
295200;25.56000
295500;25.77000
295800;25.51000
296100;25.67000
296400;25.65000
296700;25.65000
297000;25.72000
297300;25.82000
297600;25.89000
297900;25.86000
298200;25.72000
298500;25.79000
298800;25.98000
299100;25.82000
299400;25.89000
299700;27.81000
300000;26.53000
300300;26.14000
300600;26.00000
300900;25.89000
301200;26.14000
301500;26.42000
301800;26.64000
302100;26.30000
302400;26.21000
302700;26.26000
303000;26.46000
303300;27.06000
303600;27.91000
303900;27.27000
304200;27.01000
304500;27.29000
304800;26.62000
305100;26.85000
305400;27.31000
305700;26.71000
306000;26.67000
306300;27.06000
306600;26.73000
306900;27.22000
307200;27.20000
307500;27.01000
307800;27.06000
308100;27.04000
308400;27.18000
308700;27.13000
309000;27.74000
309300;28.31000
309600;28.07000
309900;27.98000
310200;27.54000
310500;27.91000
310800;27.63000
311100;28.02000
311400;28.14000
311700;28.12000
312000;28.21000
312300;28.26000
312600;28.74000
312900;27.91000
313200;28.63000
313500;28.38000
