time_seconds;temperature
0;26.00000
300;26.00000
600;26.10000
900;26.00000
1200;26.00000
1500;26.05000
1800;26.10000
2100;25.93000
2400;26.00000
2700;26.00000
3000;26.05000
3300;25.84000
3600;26.05000
3900;26.03000
4200;25.93000
4500;26.05000
4800;25.93000
5100;25.96000
5400;26.05000
5700;26.08000
6000;26.00000
6300;26.03000
6600;25.93000
6900;25.96000
7200;25.93000
7500;25.98000
7800;26.39000
8100;25.86000
8400;27.11000
8700;26.39000
9000;26.35000
9300;26.19000
9600;26.05000
9900;26.21000
10200;26.00000
10500;25.93000
10800;25.84000
11100;25.82000
11400;25.98000
11700;25.98000
12000;25.74000
12300;25.79000
12600;25.74000
12900;25.82000
13200;25.82000
13500;25.60000
13800;25.79000
14100;25.63000
14400;25.79000
14700;25.79000
15000;25.70000
15300;25.67000
15600;25.82000
15900;25.63000
16200;25.63000
16500;25.56000
16800;25.58000
17100;25.60000
17400;25.16000
17700;25.53000
86400;25.09000
86700;25.11000
87000;25.21000
87300;25.14000
87600;25.11000
87900;25.00000
88200;25.09000
88500;25.07000
88800;25.07000
89100;25.04000
89400;25.14000
89700;25.11000
90000;25.04000
90300;25.02000
90600;25.02000
90900;25.14000
91200;25.18000
91500;25.16000
91800;25.04000
92100;25.11000
92400;25.11000
92700;25.07000
93000;24.97000
93300;24.88000
93600;24.93000
93900;25.04000
94200;25.04000
94500;25.02000
94800;25.35000
95100;25.51000
95400;25.42000
95700;25.51000
96000;25.51000
96300;25.30000
96600;25.42000
96900;25.21000
97200;25.42000
97500;25.18000
97800;25.35000
98100;25.09000
98400;25.11000
98700;25.23000
99000;25.07000
99300;25.23000
99600;25.37000
99900;25.30000
100200;25.21000
100500;25.25000
100800;25.25000
101100;25.11000
101400;25.14000
101700;25.28000
102000;25.00000
102300;25.18000
102600;25.07000
102900;25.04000
103200;24.86000
103500;25.07000
103800;24.97000
104100;25.07000
174900;24.24000
175200;24.17000
175500;24.38000
175800;24.38000
176100;24.34000
176400;24.22000
176700;24.20000
177000;24.29000
177300;24.27000
177600;24.24000
177900;24.32000
178200;24.22000
178500;24.22000
178800;24.22000
179100;24.22000
179400;24.27000
179700;24.22000
180000;24.24000
180300;24.29000
180600;24.29000
180900;24.22000
181200;24.54000
181500;24.17000
181800;24.08000
182100;23.73000
182400;23.77000
182700;23.87000
183000;24.10000
183300;24.01000
183600;23.77000
183900;23.75000
184200;23.87000
184500;23.75000
184800;23.68000
185100;23.70000
185400;23.63000
185700;23.45000
186000;23.61000
186300;23.61000
186600;23.59000
186900;23.48000
187200;23.59000
187500;23.54000
187800;23.48000
188100;23.66000
188400;23.57000
188700;23.34000
189000;23.41000
189300;23.57000
189600;23.48000
189900;23.38000
190200;23.59000
190500;23.32000
190800;23.41000
191100;23.57000
191400;23.68000
191700;23.66000
192000;23.25000
192300;23.50000
192600;23.45000
261300;24.45000
261600;24.47000
261900;24.38000
262200;24.38000
262500;24.43000
262800;24.41000
263100;24.38000
263400;24.41000
263700;24.32000
264000;24.34000
264300;24.41000
264600;24.43000
264900;24.36000
265200;24.38000
265500;24.38000
265800;24.27000
266100;24.34000
266400;24.32000
266700;24.27000
267000;24.32000
267300;24.38000
267600;24.72000
267900;25.32000
268200;26.05000
268500;26.23000
268800;26.17000
269100;26.21000
269400;26.05000
269700;26.05000
270000;26.00000
270300;26.12000
270600;26.08000
270900;26.10000
271200;25.98000
271500;26.08000
271800;26.10000
272100;26.00000
272400;26.00000
272700;25.96000
273000;26.08000
273300;26.00000
273600;26.03000
273900;26.00000
274200;26.10000
274500;25.91000
274800;26.12000
275100;26.03000
275400;26.10000
275700;25.98000
276000;25.98000
276300;25.98000
276600;25.93000
276900;26.05000
277200;25.91000
277500;25.79000
277800;25.93000
278100;26.03000
278400;25.86000
278700;25.93000
279000;26.03000
347700;24.68000
348000;24.56000
348300;24.63000
348600;24.59000
348900;24.66000
349200;24.54000
349500;24.54000
349800;24.59000
350100;24.52000
350400;24.50000
350700;24.50000
351000;24.54000
351300;24.61000
351600;24.43000
351900;24.41000
352200;24.50000
352500;24.45000
352800;24.59000
353100;24.45000
353400;24.50000
353700;24.47000
354000;24.93000
354300;25.42000
354600;26.17000
354900;26.19000
355200;26.21000
355500;26.05000
355800;26.21000
356100;26.17000
356400;26.17000
356700;26.14000
357000;26.17000
357300;26.21000
357600;26.14000
357900;26.21000
358200;26.19000
358500;26.08000
358800;26.12000
359100;26.10000
359400;26.00000
359700;26.17000
360000;26.10000
360300;26.03000
360600;26.08000
360900;26.03000
361200;26.08000
361500;26.10000
361800;26.10000
362100;25.96000
362400;26.08000
362700;26.19000
363000;26.14000
363300;26.10000
363600;26.05000
363900;26.12000
364200;26.08000
364500;26.10000
364800;26.08000
365100;26.14000
365400;26.14000
434100;24.75000
434400;24.70000
434700;24.75000
435000;24.72000
435300;24.66000
435600;24.70000
435900;24.59000
436200;24.61000
436500;24.68000
436800;24.68000
437100;24.66000
437400;24.66000
437700;24.59000
438000;24.52000
438300;24.61000
438600;24.61000
438900;24.66000
439200;24.45000
439500;24.56000
439800;24.50000
440100;24.63000
440400;24.66000
440700;24.70000
441000;24.54000
441300;24.66000
441600;24.63000
441900;24.61000
442200;24.61000
442500;24.54000
442800;24.54000
443100;24.66000
443400;24.43000
443700;25.72000
444000;24.41000
444300;24.45000
444600;24.54000
444900;24.59000
445200;24.59000
445500;24.61000
445800;24.45000
446100;24.45000
446400;24.56000
446700;24.59000
447000;24.47000
447300;24.59000
447600;24.54000
447900;24.56000
448200;24.52000
448500;24.56000
448800;24.54000
449100;24.54000
449400;24.50000
449700;24.61000
450000;24.59000
450300;24.54000
450600;24.61000
450900;24.61000
451200;24.54000
451500;24.61000
451800;24.54000
520500;26.08000
520800;25.98000
521100;26.00000
521400;25.79000
521700;26.03000
522000;25.93000
522300;26.00000
522600;25.93000
522900;25.79000
523200;25.86000
523500;25.79000
523800;25.84000
524100;25.84000
524400;25.79000
524700;25.91000
525000;25.79000
525300;25.72000
525600;25.67000
525900;25.79000
526200;25.89000
526500;25.72000
526800;25.86000
527100;25.77000
