time_seconds;temperature
0;21.59000
300;21.51000
600;21.61000
900;21.56000
1200;21.54000
1500;21.59000
1800;21.63000
2100;21.63000
2400;21.59000
2700;21.59000
3000;21.63000
3300;21.49000
3600;21.49000
3900;21.47000
4200;21.49000
4500;21.39000
4800;21.47000
5100;21.54000
5400;21.49000
5700;21.49000
6000;21.32000
6300;21.39000
6600;21.39000
6900;21.35000
7200;21.51000
7500;21.42000
7800;21.47000
8100;21.32000
8400;21.42000
8700;21.37000
9000;21.35000
9300;21.32000
9600;21.32000
9900;21.32000
10200;21.44000
10500;21.44000
10800;21.39000
11100;21.28000
11400;21.28000
11700;21.32000
12000;21.37000
12300;21.35000
12600;21.28000
12900;21.23000
13200;21.32000
13500;21.32000
13800;21.19000
14100;21.35000
14400;21.28000
14700;21.44000
15000;21.37000
15300;21.37000
15600;21.35000
15900;21.32000
16200;21.32000
16500;21.25000
16800;21.28000
17100;21.21000
17400;21.30000
17700;21.30000
18000;21.14000
